Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Al Engineer (Python),Skylinx Technologies,Lahore,https://pk.indeed.com/company/Skylinx-Technologies/jobs/Al-Engineer-a196d3e7203aaf59?fccid=6ac7693ae216e8e7&vjs=3,,Contract,Posted 30+ days ago,Hiring 1 candidate for this role,"We are looking for an experienced AI engineer to join our multidisciplinary team to help in shaping our AI strategy and showcase the potential for AI through early-stage solutions. The potential candidates must have proven expertise in using deep learning, neuro-linguistic programming (NLP), computer vision, chatbots, and robotics to help the internal teams promote diverse business outcomes and drive innovation.
Responsibilities -Below are some of the responsibilities an artificial intelligence, machine learning engineer is expected to assume in their position:-Design and develop AI models to meet project requirements-Develop an efficient prototype-Perform recurring jobs, like AI strategy assessment, automation market, etc.-Perform tests and troubleshoot issues before the final delivery-Stay up-to-date on the latest AI emergencies relevant to the business domain-Convert AI/ML models into APIs that other developers can use-Perform statistical analysis on big data sets-Manage project infrastructure and the development of AI models and projects-Work with other machine learning engineers, data engineers, and AI engineers to develop machine learning models
Job Types: Full-time, ContractContract length: 12 months
Salary: Rs150,000.00 - Rs250,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
"Content Writing & SEO Internship - Learn AI Content Writing, SEO & Blogging",The Blogging Lab,Lahore,https://pk.indeed.com/company/The-Blogging-Lab/jobs/Content-Writing-SEO-Internship-b9623ea925b75bcb?fccid=06ba60ce0ab74ec8&vjs=3,"Rs 5,000 a month",Fresher,Posted 30+ days ago,Application response rate: 56%,"TheBloggingLab is looking for the next cohort of Content Writing Interns who will gain the skills of :

Content Writing for Blogging
Content Writing with AI Tools (Artificial Intelligence)
Search Engine Optimization (SEO)
WordPress
Basics of Social Media, Canva & Pinterest

This is a full-time Paid Internship with an award of certificate of internship after successful completion of 3 months.
You will be working on live projects so that you can actually feel the heat and gain the skills to excel in your professional career ahead. Further, you will be able to design your career roadmap in Content Writing, SEO & Blogging industry as well.
This is a remote opportunity meaning you won't need to travel and can work from the comfort of your home with a reliable internet connection & laptop.
The main skills we are looking for in the interns are:

Being good with words (content writing)
Eager to learn digital skills and excel in the career
Commit full-time for the 3 months ahead
Your work timing will be 10 AM to 7 PM from Monday to Friday (Sat-Sunday Off)

A typical day will look like this

10 AM to 1 PM First Half (online meeting, discussion and assigning work)
1 PM to 2 PM Lunch Break (take a break and rejuvenate)
2 PM to 7 PM Second Half (executing the work with focus and excellence)

Job Types: Contract, Internship, FresherContract length: 3 months
Salary: Rs5,000.00 per month
Application Deadline: 08/03/2023Expected Start Date: 10/03/2023"
Python Developer,Kyaas Solutions,Lahore,https://pk.indeed.com/company/K.-Sol/jobs/Python-Developer-e756bc23f3e580e6?fccid=4b7e0d33c3884faf&vjs=3,"Rs 80,000 - Rs 120,000 a month",Contract,Posted 4 days ago,Hiring 2 candidates for this role,"Our Vision is to utilize emerging technologies to deliver advanced sustainable IT solutions consistently.
Kyaas Solutions aims to offer Business, IT services & support in areas of Automation, Big Data, Cloud solutions, Real-time solutions, Artificial intelligence, Machine learning, and Emerging technologies. Kyaas Solutions will help businesses to choose the right technologies, map out the implementation plan, and execute them.
We are looking for a Python Developer who will be responsible to:
Duties & Responsibilities:

Develop high-quality software applications using Python
Collaborate with cross-functional teams to design, develop, and implement software solutions
Solve complex problems using advanced algorithms and data structures
Participate in code reviews and ensure code quality
Maintain and improve existing software applications
Lead a team of software engineers
Mentor team members through training and guidance
Analyze business requirements
Estimate assigned tasks
Write code and unit tests
Collaborate with other team members
Tune your code for enhanced security and performance
Maintain systems by fixing any existing issues
Update issue tracking software
Provide status updates
Control versions of your code
Research new technologies
Stay up-to-date with the latest trends and technologies in software development

Requirements:

Extensive experience of Python.
Minimum Bachelors in Computer Science/Software Engineering or equivalent.
Minimum 3 years of related experience in professional industry
Strong proficiency in Microsoft technologies, tools and platforms
Knowledge and experience of Azure and AWS
Knowledge and experience in writing backend components and Restful APIs
Understanding of security standards and compliances
Experience with different relational and schema less databases such as Oracle/SQL Server, MySQL, PostgreSQL and MongoDB
Creating database structure for the required functionality
Experience with writing unit tests and ensuring the minimum 90% test coverage
Knowledge of and experience with Github, Slack and other collaboration tools
Understanding of fundamental concepts and design principles
Basic understanding of front-end technologies
Flexible attitude and versatile personality
Strong communication and presentation skills
Strong influence among team members

Good if you have:

Performed Artificial Intelligence, Machine Learning and Data Science.
Well known about Automation.

Job Types: Full-time, ContractContract length: 24 months
Salary: Rs80,000.00 - Rs120,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Full-Stack Developer,Globizitech Enterprises,Lahore,https://pk.indeed.com/company/Globizitech-Enterprises-(PVT)-Ltd/jobs/Full-Stack-Developer-b32c08a7aa42e6b0?fccid=4a0bee9fa20533f0&vjs=3,"Rs 30,000 - Rs 60,000 a month",Full-time,Posted 23 days ago,Hiring 1 candidate for this role,"Who We Are
CHANGE FOR BETTER!
To consistently utilize the emerging technologies to deliver advanced sustainable IT solutions is our Vision.GlobizITech aims to offer Business, IT services & support in areas of Automation, Big Data, Cloud solutions, Real-time solutions, Artificial intelligence, Machine learning, and Emerging technologies. GlobizITech will help businesses to choose the right technologies, map out the implementation plan, and execute them.
The Opportunity
As a result of continuous company growth, GlobizITech is looking for an enthusiastic Full Stack Developer to join our team. We are seeking either a highly exceptional Junior or a Senior/Experience individual who can help us execute our extensive roadmap that we have planned. This is an exciting opportunity to join a high performing and growing team to develop your skills and gain experience in a developing and values-driven enterprise.
Job Responsibilities
As a Full Stack Developer with GlobizITech, you are expected to help shape the technological road map of our organisation right now and into the future by sharing your ideas & solutions and basically own this role. You will be working across updating and enhancing current systems along with building new projects from concept to launch. You will collaborate with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.
Required Qualifications / Skills:

BS or MS degree in Computer Science/Software Engineering or a related technical field
Experience working on CI/CD processes such as Jenkins, Codeway etc. and source control tools such as GitHub, etc.
Strong experience in coding languages like Python, Scala & Java
Fluent in relational based systems and writing complex SQL.
Strong understanding of databases, security, data structures and algorithms
Strong analytical and problem-solving skills.
Have experience in building real-time streaming data pipelines
Experience in ingestion and processing of batch and streaming data
Working knowledge of API design, development and integration
Experience working with any cloud environment (preferably AWS)
Knowledge of best practices and IT operations in an always-up, always-available service
Experience with or knowledge of Agile Software Development methodologies
Excellent problem solving and troubleshooting skills
Process oriented with great documentation skills
Good Data warehouse & ETL concepts.
knowledge of Big Data technologies such as Pig, Hive, Spark, Kafka, Nifi (Good to have).
Good communication and analytical skills.

Tech Stack
● Framework: Flask, Angular, Flutter
● Database: MongoDB, My SQL, Arango DB, Postgre SQL
● Languages/Client-side: HTML, CSS, JavaScript, Python, type Script, Java script, React.js, JQuery, Scala, PHP, Laravel, Dart, C#, Bootstrap, TailWind, Material IO, Express.js, Ajax,
● Design: UI Design, Responsive Design, Figma to HTML, Adobe XD to HTML
● Management System: RMS, LMS, CMS, CRM
How to Apply
If you are detail-oriented, with excellent organizational skills and experience in this field, we would like to hear from you.
To apply, send through a copy of your CV.
We will be screening applications as they are received and may close advertising early if the right person is identified.
GlobizITech provides equal employment opportunities to all qualified applicants and employees, and prohibit discrimination and harassment of any type.
Job Type: Full-time
Salary: Rs30,000.00 - Rs60,000.00 per month"
IT Support Engineer,Afiniti,Lahore,https://pk.indeed.com/rc/clk?jk=297c68cf7faefb6f&fccid=b699f89e027ca757&vjs=3,,N/A,Posted 30+ days ago,,"


Who are we?
 Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world, and has measurably driven billions of dollars in incremental value for our clients.
  


Purpose


   IT Department provides support to all internal users.IT Staff work in a dynamic and fast-paced environment, providing services over phone and through e-mail and physical visit as well.
  


   Note: Rotational Shift (On-Site)
  


Key Responsibilities



1st/2nd Level support of internal customers for all IT related issues.
Detailed tracking of each customer's service needs in JIRA based ticketing system.
Follow-up with customers to ensure that all issues/needs have been resolved/met.
Timely and accurate feedback of issues to customers and management to maintain the SLA of IT.
Proactive monitoring and timely issue resolution of production systems.
Proper escalation of issues to management and vendors according to established guidelines and policies.


The ideal candidate will have



2~5 years work experience in the relevant field.
Installation configuration Printers/Scanners and application support.
Able to provide L1 Network Support and System Administration support as well.


Working knowledge and experience of Microsoft Products and Windows based / MAC based applications.
Functional knowledge and experience of installation troubleshooting of (/7/8/10) Server 2008/2012/AD).
Average English communication skills (verbal and written)
Strong problem solving and analytical Skills.
Configuration of Cisco/Avaya/IP based Phones.
Virtual Desktop Interface knowledge.
Ability to acquire and maintain a working knowledge of a wide range of applications and systems. (Windows/Servers/MAC).
Ability to work in 24/7 shift based environment. 
When situations demand additional support to balance work load, IT staff may be required to stay in extra hours or come in additional shifts.
In order to develop and upgrade their knowledge base, IT staff are required to attend regular meetings and training activities for which they can asked to come in without any extra pay.
IT staff must be able to recognize questions/issues that go beyond the scope of services provided by the IT, and make accurate referrals to other service providers as needed.



Education & Qualifications


Computer Science or Information Technology Graduate from reputed institute


Salary & Package
 As well as a competitive base salary dependent on the number of years of experience, we also offer Corporate benefits.
    



"
Machine Learning Engineer,Caramel Tech Studios,Lahore,https://pk.indeed.com/rc/clk?jk=a41ef4e808403068&fccid=85983499f75d376c&vjs=3,,N/A,Posted 30+ days ago,,"


  Machine learning engineer will apply his/her expertise in intelligence and language understanding for our product Fizz. You will solve problems and identify trends and opportunities by developing algorithms to do quantitative analysis, data mining, failure analysis for machine learning systems.
 





   We want to strive to be the best and the brightest in the fields of Research and Machine Intelligence specifically to understand experiences of millions of gamers and their needs. Weâ€™re looking for talented software engineers that have applied experience to join our team.
  



    To achieve this, you will work in a small team, collaborating closely with our engineering product and design teams and youâ€™re able to switch projects as our fast-paced business grows and evolves.
  


Required Skills


MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, Operational Research, Statistics or in another highly quantitative field.
3-4+ years experience in machine learning, large scale data processing/analytics
5+ years of hands-on experience in predictive modelling and analysis
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Python, JavaScript, or Go.


Preference will be given to candidates who have:


10+ years of hands-on experience in predictive modeling and analysis
10+ years experience in machine learning, large scale data processing/analytics
Experience in programming languages such as MATLAB, Go and Objective C


Salary Package
 We offer highly competitive and lucrative packages that could vary depending on the educational background, work experience, as well as the candidate’s performance in the interview.

"
Customer Success Engineer,Eon,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClHMUJiX01iDsShR5hr9yjgSU6XaSMXAtIOw_ZpMGbi1M2iOBFvwvrcJL1iUFdBuvwcpPdqSD3mOVSFDC_z-3G8au_mBiScM8T4_XdO52Fws7ybw9fXoU6KINESaBpW_2K3zbeR0SPdguyC6OBGmgF3bh_4WMv2fsjiZeRletpwBxhywAVoGjY5sM3v0IW_uOt9kJdFrZZzSB0YYqiSwFbeXynkhUv0T7jcX29bsFXAxdp9V6ZK8JtNAI5Y5x0sqOot9z_2K8s4nCHlJAFtAb0a9yqgddy6dYEtuVvPambulBdylEud3xS1KllZ1qfwYrYAi__HUViAJjDOoMFPSwyqRO4i8_3_RnWesF085z3KP87KyxMkXWD8QSuiwIrLeABsA8P49Q8xGKGbHANuZ-XiAXbJsCvc4oAz8Ioo55_lWGphH6cHkJxtJmJQSVFpvbclWVobOUBqVmCVd1k0trFqT5VHi6RKX5Uon9lTqvb2XHh2y1pZTKk2qvlIbddy9IPxFzDwN18mpr1f7upnIc-NT0-yKF5lpOiXFDGVySE_A==&xkcb=SoCz-_M3Rxlcye2HBR0IbzkdCdPP&p=6&fvj=1&vjs=3,,Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"Customer Success Engineer – Lahore, Pakistan
On-Site
At Eon, our mission is to make patients healthier and healthcare affordable. Eon Patient Management, or EPM as we like to call it, identifies patients with disease risk and streamlines clinical decision analysis so clinicians can work at the top of their licenses. With unique solutions across multiple disease states, we drive unprecedented adherence to care pathways, so that more patients are seen and more survive. When patients win, healthcare systems win - both clinically and financially.
As a market leader in incidental tracking and patient management, Eon is pioneering the use of Artificial Intelligence to enable healthcare enterprises, ranging from small health systems to large, national-scale IDN’s. We have a unique and dynamic team that is focused on results, and employment opportunities both local to our Denver and Pakistan offices, Canada, and remote based.
The Opportunity
Eon is looking for a Customer Success Engineer that wants to make a difference in healthcare.
As a Customer Success Engineer you will:

Troubleshoot and resolve Tier 2 technical Support tickets to identify solutions or workarounds
Escalate unresolved Tier 2 issues to the Tier 3 development and product teams, when required
Communicate technical details of resolved issues to customers through Tier 1 Support
Collaborate with product and engineering teams to develop a foundational knowledge of the product, underlying technology, and ongoing changes
Prioritize and manage several open issues at the same time
Develop knowledge of multiple production environments and custom logics deployed on different customer sites
Execute customer reporting requests
Provide assessment of severity and business impact on Tier 2 reported issues
Execute efforts for ensuring high quality and accuracy of existing data in production environments
Log relevant changes in the configuration tracking documents and any additional details related to the reported issues

Skills and Requirements:

Bachelor’s Degree in Engineering, Computer Science or relevant field
Technical background of software development
1-2+ years of experience in QA or managing software application
Must have Hands-on experience with SQL
Must have excellent English communication skills and experience with documenting root cause analysis
Must have ability to multitask in a fast-paced environment
Must have ability to empathize and communicate with customers
Ability to work in a 24×7 environment
Experience using Jira, Slack, and GitHub
Knowledge about HL7 standards is a plus

“So what’s in it for me,” you ask?
We pride ourselves for being a culture-based company buzzing with high-energy. Aside from the enthusiastic environment, you'll enjoy:

Provident Fund
Competitive salary
Health insurance
Referral bonuses
Generous vacation time
Paid Maternity and Paternity leave
Work from home days
Lunch facility within office
Travel allowance
Company equipment (laptop, internet device, screens etc)
Professional development and career growth opportunities
Awesome team members

Check us out at eonhealth.com!

If we still have your attention, don't delay, send your resume to us at jaweria.aslam@eonhealth.com.

EON is proud to be an equal opportunity employer and prohibits discrimination and harassment of any kind. Our culture celebrates diversity and we are committed to creating an inclusive environment for all team members.
Job Type: Full-time
Pay: Rs1,800,000.00 - Rs2,400,000.00 per year"
Computer Science/Business Computing Faculty Required by BNU,Beaconhouse National University,Lahore,https://pk.indeed.com/rc/clk?jk=fd8c86ed503d8477&fccid=b999cc6b29031e33&vjs=3,,N/A,Posted 30+ days ago,,"
School of Computer and Information Technology (SCIT) placed in the quality-oriented and professional environment of Beaconhouse National University, Lahore has openings for Assistant Professor and Lecturer for its Computer Science and Business Computing programs.
Applicants should possess MS / PhD degree preferably with teaching/research experience in the areas of Data Science, Artificial Intelligence, Game/Mobile/Web Development, Data Analytics, Information Systems, Enterprise Systems.
Applicants having industry experience in latest technologies will be given preference.
Eligible candidates with copies of academic transcripts may apply at career@bnu.edu.pk by 24 March 2023 with post mentioned in the subject. Only shortlisted candidates shall be contacted.
"
Trainer (Artificial Intelligence),Enablers College of Technology,Lahore,https://pk.indeed.com/company/Enablers-College-of-Technology/jobs/Trainer-9141107737fa86a9?fccid=a6835898c608f3b5&vjs=3,,Part-time,Posted 15 days ago,Application response rate: 84%,"Education: Masters degree in Computer sciences or closely related field.
Experience: 3-4 years of experience as Trainer/Teacher (Artificial Intelligence).
Skills Required:

Proficiency in relevant field/subject
Excellent communication and interpersonal skills.
Detail oriented.
Ability to manage students firmly, fairly and effectively.

Job Type: Part-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Lead AI Engineer,AI4LYF,Lahore,https://pk.indeed.com/company/Ai4lyf/jobs/Lead-Ai-Engineer-66ac417c7a9b81c2?fccid=2bac158e9414aed6&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 85%,"Job Description/ Main responsibilities:

Facilitate in translating Health-related problems into marketable solutions using machine learning, deep learning, data science, mathematical and statistical tools, and domain (healthcare) knowledge
Develop data understanding and share insights with Exploratory Data Analysis (EDA) and Confirmatory Data Analysis (CDA)
Develop state-of-the-art machine learning and deep learning models for prediction and classification using heterogeneous multi-modal data
Develop a complete data pipeline for the machine learning tasks
Set up and maintain environments for developing and testing advanced analytics and machine learning projects.
Integrate solutions with the backend and front end
Provide close technical supervision and assistance to teammates in machine learning-related programming tasks to ensure that the best coding practices are followed.
Provide conceptual clarity and guidance to teammates in choosing appropriate machine-learning models and tools
Develop and implement the schemes for the timely installation and upgrading of appropriate required packages and libraries for machine learning models
Document the complete model development process for regulatory compliance, and prepare user guides and reports for the stakeholders
Develop model development methodology and schemes to follow with time bound milestones and prepare group and individual KPIs for the team members
Prepare individual team members tasks using project management tools and ensure the tasks are completed timely
Develop and conduct technical training programs for the team members for continuously improving their programming skills and practical knowledge of ML

Tasks you will be performing on daily basis as ML/AI Engineer:

Ensure that the work of team members is aligned with the action plan, milestones are achieved and KPIs are met
Provide close technical supervision and assistance to team members
Lead AI engineers closely in the development of ETL for machine learning tasks
Lead AI engineers closely in the data pre-processing for complex heterogeneous (signal, tabular, text, image etc.) data
Validate data pipelines, codes, models, and implementations to ensure the quality, accuracy, and consistency of the solutions in the real environment
Address logic building and coding challenges faced by the team mates
Review the codes, model architectures, implementation schemes and debug them, address the issues and optimize them and educate AI engineers to improve in those areas
Develop ML/DL/ mathematical/ and statistical models for addressing problems and exploiting opportunities related to healthcare
Prepare documents and reports for compliance and management purposes

Experience, knowledge and skills required:

Experience in leading end-to-end ML projects
Experience in closely supervising teams working on AI tasks
Experience in developing, documenting and managing programming/software development projects
Experience in development of multiple machine learning and deep learning projects
Proficiency in python coding, data management, machine learning, deep learning and data visualization libraries and packages
Comprehensive knowledge of best coding practices, deep understanding of ML/DL/Stats/Math concepts

Preference will be given to candidates who have:

Experience of developing AI marketable products
Demonstrable clarity of architectures, implementation, and optimization of machine learning and deep learning models
Experience in programming in Python and knowledge of good coding practices
Experience with one of the cloud services: Google Cloud, AWS, Azure
Knowledge of using ssh, bash, and linux
Understanding of python web framework FLASK/ Django
Understanding of front-end technologies HTML/JavaScript/CSS and related web technologies
Experience in leading machine learning projects
Experience of building and grooming teams of creative people

Qualification:

Master in Artificial Intelligence/Data Science/ Software engineering/ Computer Science/ ECE or equivalent from a renowned university.
Master and 4+ years’ experience in machine learning and deep learning projects management
PhD in Artificial Intelligence/ Data Science/ Software engineering/ Computer Science/ ECE or equivalent from a renowned university.
PhD with thesis pending candidates can also apply

Job Type: Full-time, in-office, day shift.
Salary: A highly competitive/lucrative salary package based on skill set, qualification, and work experience. The package will also include generous bonuses-based rewards for outstanding performance throughout the employment and opportunity to get shares.
Please share your GitHub/ Kaggle profile if available.
Job Type: Full-time
Salary: Rs100,000.00 - Rs180,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
