Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Data Entry Operator,Atif Brothers,Lahore,https://pk.indeed.com/company/Atif-Brothers/jobs/Data-Entry-Operator-165203fd2435fc4d?fccid=1438c13468d47579&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 30+ days ago,Hiring 2 candidates for this role,"
Besides this, you'll be asked to do other data entry jobs, comprehensive reporting of your daily activity, and some other tasks.
Candidates should have good formatting skills and should have good speed on the computer.
Should have a good working knowledge of Microsoft Office, Excel, and Word).
Looking to start ASAP

Job Type: Full-time
Pay: Rs30,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)
"
Data Entry Job,Master Time,Lahore,https://pk.indeed.com/company/Master-Time/jobs/Data-Entry-44e82fee1de95c4e?fccid=b6b0d0c07bc90805&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 5 days ago,Hiring 4 candidates for this role,"The successful candidate will be proficient in computer operations, particularly with data entry software, and possess excellent typing and data entry skills.
Responsibilities:

Verify and ensure the accuracy and completeness of data
Maintain data confidentiality and security
Perform data quality checks to identify and correct errors
Follow data entry procedures and guidelines to ensure consistency and accuracy
Ensure timely completion of assigned tasks

Requirements:

Atleast High school diploma or equivalent
Proven experience as a data entry operator or similar role
Proficient in computer operations
Good typing skills
Excellent attention to detail and accuracy
Good communication skills
Ability to work independently and as part of a team
Ability to maintain confidentiality and data integrit

*
Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month"
Data Entry Operator,AZ Enterises Pvt Ltd,Lahore,https://pk.indeed.com/company/AZ-Enterises/jobs/Data-Entry-Operator-2b97049e8fb0a280?fccid=9b05e6572f429c88&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 18 days ago,Hiring 5 candidates for this role,"
Insert customer and account data by inputting text based and numerical information from source documents within time limits
Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry
Review data for deficiencies or errors, correct any incompatibilities if possible and check output
Research and obtain further information for incomplete documents
Apply data program techniques and procedures
Generate reports, store completed work in designated locations and perform backup operations

Scan documents and print files, when needed
Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 01/04/2023"
Data Entry Operator,Game District,Lahore,https://pk.indeed.com/company/Game-District/jobs/Data-Entry-Operator-e7cd9e688874cca9?fccid=4d40655b71604d62&vjs=3,,Full-time,Posted 1 day ago,Hiring 1 candidate for this role,"Company Description
Game District is an emerging Mobile Games Leader with 1+ billion Games Downloads and is trusted by the biggest companies like NFL, Hobbits, LEGO, and Outfit7. We believe in making outstanding & engaging games that take the market by storm. Specializing in Casual, Rpg, Mid core, and Hyper casual games.
Job Description:

Prepares, compiles, and sorts documents for data entry.
Verifies and logs receipt of data.
Transcribes source data into the required electronic format.
Transfers information from paper formats into computer files using keyboards, data recorders, or optical scanners.
Performs high-volume data entry using word processing, spreadsheet, database, or other computer software.
Verifies the integrity of data by comparing it to source documents.
Reviews data for errors, missing pages, or missing information and resolves any discrepancies.
Maintains a filing system and protects confidential customer information.
Performs regular backups to ensure data preservation.
Responds to requests to retrieve data from the database or electronic filing system.
Maintains a satisfactory level of quality and productivity per department standards.
Completes additional assigned tasks as required.

Job Requirements:

Education: Bachelor’s
Gender: Male or Female
Experience: 0-1 year
Location: Lahore

Benefits we are offering:

Free Lunch
Family Health Insurance including Spouse and Kids
Monthly OPD (Reimbursement Basis)
Provident Fund – 5% from each side
EOBI
Leaves Encashment
Casual and Sick Leaves
Wedding Leaves
Paternity Leaves
Annual Events
Sports Gala
Employee of the Month rewards

Job Type: Full-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

How much you have total Experience relevant to the position?
What is your current salary?
What is your expected salary?
What is your notice period on your current employment? If any.
"
Data Entry Operator-Part Time Student Opportunity,Electivo Insurance Group,Lahore,https://pk.indeed.com/company/Electivo-Insurance-Group/jobs/Data-Entry-Operator-Student-Opportunity-435de6f3a9250121?fccid=c12e737efb1901c1&vjs=3,"Rs 10,000 - Rs 15,000 a month",Part-time,Posted 30+ days ago,Hiring 1 candidate for this role,"Job Description
Electivo Group is providing internship opportunities to College & University students in the areas of Finance, Accounting, Computer Science, and Human Resources. We are also providing full time opportunities after graduation. The position will provide valuable experience with an American based firm. This position is in night shift according to U.S. Business hours.
Learning Objectives:

Improve analytical skills by ensuring data accuracy
Develop an understanding of the Insurance and Risk Management Industry.
Learn how to navigate between multiple databases quickly, and precisely
Gain an understanding of organizational workflows and an International Level of Corporate Professionalism.

Responsibilities:

Focus on data entry and accuracy
Analyze information for required data points
Complete assigned tasks on time and with accuracy
Report out on project completion levels
Attend meetings as needed

Required Skills:

Proficient computer skills, including Microsoft Word, and Excel
Excellent written and verbal communication skills
Self-directed and able to tasks without direct supervision
Able to communicate project needs
Energetic and eager to tackle new projects

Job Type: Part-timePart-time hours: 30 per week
Pay: Rs10,000.00 - Rs15,000.00 per month
Application Question(s):

Do you have your own reliable transport?
Are you willing to work this office based internship in night shift?
"
Data Entry Operator,Abendsoft,Lahore,https://pk.indeed.com/company/Abendsoft/jobs/Data-Entry-Operator-78a1b70bf1c037c3?fccid=ff82331bc52a297f&vjs=3,"Rs 25,000 a month",Full-time,Posted 2 days ago,Hiring 1 candidate for this role,"Responsibilities

Insert customer and account data by inputting text based and numerical information from source documents within time limits
Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry
Review data for deficiencies or errors, correct any incompatibilities if possible and check output
Research and obtain further information for incomplete documents
Apply data program techniques and procedures
Generate reports, store completed work in designated locations and perform backup operations
Scan documents and print files, when needed
Keep information confidential
Respond to queries for information and access relevant files
Comply with data integrity and security policies
Ensure proper use of office equipment and address any malfunctions

Requirements and skills

Proven data entry work experience, as a Data Entry Operator or Office Clerk
Experience with MS Office and data programs
Familiarity with administrative duties
Experience using office equipment, like fax machine and scanner
Typing speed and accuracy
Excellent knowledge of correct spelling, grammar and punctuation
Attention to detail
Confidentiality
Organization skills, with an ability to stay focused on assigned tasks
High school diploma; additional computer training or certification will be an asset

Job Type: Full-time
Pay: Rs25,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Data Entry Operators,Ample Global Enterprises (Private) Limited,Lahore,https://pk.indeed.com/company/Ample-Global-Enterprises-(Private)-Limited/jobs/Data-Entry-Operator-a1a963d1d0adaddd?fccid=d80833cf9ea9d91f&vjs=3,,N/A,Posted 7 days ago,Hiring 3 candidates for this role,"14 years of education with typing speed at least 25 WPM. Or Intermediate with speed 45 WPM. Must have Skills of MS Word & MS Excel and MS PowerPoint
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 06/04/2023Expected Start Date: 10/04/2023"
Data Entry Operator,Al Waris & Sons,Lahore,https://pk.indeed.com/company/Al-Waris-&-Sons/jobs/Data-Entry-Operator-2a8b6100ece212f1?fccid=6a7ae98d72d0f96f&vjs=3,,Full-time,Posted 8 days ago,Hiring 10+ candidates for this role,"*Online Data Entry Job*
It's just a simple job, contacting with clients through different medium and provide them our company services,
Entering data in Excel or Google spreadsheet for daily progress and monthly reports.
WhatsApp Us
0/3/2/6/4/0/1/0/8/1/8
Job Types: Full-time, Commission
Pay: Rs1,000.00 - Rs10,000.00 per day
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)
"
Data Entry / Data Operator,Digital Destiny Pvt Ltd,Lahore,https://pk.indeed.com/company/Digital-Destiny/jobs/Data-Entry-c16b75d06eb6e0dd?fccid=ff44b3b24ffdb313&vjs=3,"Rs 20,000 - Rs 25,000 a month",Fresher,Posted 30+ days ago,On-going need to fill this role,"Job brief
We are looking for a Data Entry / Data Operator (Females would be preferred) to update and maintain information on our company databases and computer systems.Responsibilities· Insert customer and account data by inputting text-based and numerical information from source documents within time limits
· Compile, verify the accuracy and sort information according to priorities to prepare source data for computer entry
· Review data for deficiencies or errors, correct any incompatibilities if possible, and check the output
· Research and obtain further information for incomplete documents
· Apply data program techniques and procedures
· Generate reports, store completed work in designated locations, and perform backup operations
· Scan documents and print files, when needed
· Keep information confidential
· Respond to queries for information and access relevant files
· Comply with data integrity and security policies
· Ensure proper use of office equipment and address any malfunctions
Requirements and skills
· Proven reporting assistant work experience
· Strong grip on MS Office is a must
· Familiarity with administrative duties
· Experience using office equipment, like and scanner
· Typing speed and accuracy
· Excellent knowledge of correct spelling, grammar, and punctuation
· Attention to detail
· Confidentiality
· Organization skills, with an ability to stay focused on assigned tasks
· High school diploma; additional computer training or certification will be an asset
Salary: 25k to 30k
Location:
Plot 216, Gulshan Block Allama Iqbal Town Lahore.
Important Note:
· We are not a third party and hiring directly.
· This is a night shift job in US Based Call Center
Job Types: Full-time, Part-time, Temporary, Contract, Internship, FresherContract length: 6 monthsPart-time hours: 54 per week
Salary: Rs20,000.00 - Rs25,000.00 per month
Application Question(s):

This is an on-site night shift job. Are you willing to work night shifts?
"
Data entry Operator,Orient Biz Tech,Lahore,https://pk.indeed.com/company/Orient-Biz-Tech/jobs/Data-Entry-Operator-262d285854968379?fccid=2dabc3fca273e55b&vjs=3,"Rs 25,000 - Rs 35,000 a month",Full-time,Posted 30+ days ago,On-going need to fill this role,"We are Hiring a Data Entry Operator that can maintain our Company's database by entering new and updated Records.
Required:
Shopify ExperienceNormal Typing SpeedTranscription skillsTime managementMulti TaskingThe candidate must have basic knowledge of computers and the ability to work in a fast-paced environment and on the night shift.
Benefits: 25k to 35k basic salary
Job Type: Full-time
Job Type: Full-time
Salary: Rs25,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
