Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Fresh Matric & Intermediate students required for Data entry operator,Al Fajr Real Estate,Rawalpindi,https://pk.indeed.com/company/AL-FAJR-REAL-ESTATE/jobs/Fresh-Matric-Intermediate-Student-Data-Entry-Operator-30f020bb3c8303ce?fccid=c706c3480ddcc0a8&vjs=3,"Rs 35,000 - Rs 80,000 a month",Internship,Posted 4 days ago,Hiring 7 candidates for this role,"We are seeking a detail-oriented data entry operator to compile, capture, and maintain our digital database. As a data entry operator, you will be required to compile, merge, and format documents for data entry, check documents for errors, input data and update the database, and manage the digital filing systems.
To be a successful data entry operator, you should possess excellent typing skills and be attentive to detail. Skilled data entry operators should be able to quickly identify data errors and demonstrate precision in their work.
Data Entry Operator Responsibilities:Gathering, collating, and preparing documents, materials, and information for data entry.Conducting research to obtain information for incomplete documents and materials.Creating digital documents from paper or dictation.Reviewing all documents and information for accuracy and informing the supervisor of any errors or inconsistencies.Capturing data into digital databases and performing regular backups.Updating and maintaining databases, archives, and filing systems.Monitoring and reviewing databases and correcting errors or inconsistencies.Generating and exporting data reports, spreadsheets, and documents as needed.Performing clerical duties such as filing, monitoring office supplies, scanning, and printing as needed.
Job Types: Full-time, Internship
Salary: Rs35,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Required)

Education:

Middle School (Required)
"
roots international teacher /required in/ office,Khan enterprise,Rawalpindi,https://pk.indeed.com/company/Khan-Enterprise/jobs/Root-International-Teacher-e29dfd8ec84d74a7?fccid=300b127897b2e5d4&vjs=3,"Rs 35,000 - Rs 50,000 a month",Full-time,Posted today,Hiring 6 candidates for this role,"We are looking for a committed Teacher to complement our qualified workforce of educators. You will be responsible for preparing and implementing a full educational teaching plan according to the school’s requirements. It will be fundamental to provide knowledge and instruction to students while also helping them develop their personalities and skills. The ideal candidate will be passionate for the job with an ability to reach out to students and create a relationship of mutual trust. They will know how to organize a class and make learning an easy and meaningful process. The goal is to help cultivate the students’ interest in education and be their dedicated ally in the entire process of learning and development.
Present lessons in a comprehensive manner and use visual/audio means to facilitate learningProvide individualized instruction to each student by promoting interactive learningCreate and distribute educational content (notes, summaries, assignments etc.)Assess and record students’ progress and provide grades and feedbackMaintain a tidy and orderly classroomCollaborate with other teachers, parents and stakeholders and participate in regular meetingsPlan and execute educational in-class and outdoor activities and eventsObserve and understand students’ behavior and psyche and report suspicions of neglect, abuse etc.Develop and enrich professional skills and knowledge by attending seminars, conferences etc.
Job Type: Full-time
Salary: Rs35,000.00 - Rs50,000.00 per month"
Fresh Student Required (part/full time),Sys Visas (Pvt) Limited,Rawalpindi+1 location,https://pk.indeed.com/company/Sys-Visas-(Pvt)-Limited/jobs/Fresh-Student-246d7e396bcf6bcc?fccid=f0d9edb467364b4b&vjs=3,"Rs 18,000 - Rs 42,000 a month",Full-time,Posted 10 days ago,Hiring 6 candidates for this role,"Working Opportunities For Fresh Students.
Matric
Intermediates
Graduates
PHD
Master
Office + Online
Part Time 3hours a day
Full Time 7 hours a day
18000 to 42000 Sllary.
Salary: Rs18,000.00 - Rs42,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Required)

Education:

High School (Preferred)
"
PTCL Customer Care Executive,Pakistan Telecommunication Company Limited (PTCL),Islamabad,https://pk.indeed.com/company/Allied-Bank-Limited-(ABL)/jobs/Ptcl-Customer-Care-Executive-bb6b9359c6ff80e8?fccid=494d563d40e2b21f&vjs=3,"Rs 20,000 - Rs 35,000 a month",Fresher,Posted 5 days ago,Hiring 10+ candidates for this role,"PTCL, A leading Telecommunication company requires Customer Care Representative (CCRs) for their helpline located in PTCL Exchange, Islamabad/Rawalpindi. The candidate must have good communication skills (English & Urdu), energetic and confident. Must be able to satisfy customer needs. Their prime responsibility will be to deal with customers problems on telephone and resolve issues. Basic computer skills required

Qualification: Bachelors (Any field)
Age Limit: Age must be 35 or Below
Job Types: Full-time, Contract Base
Basic Salary: 20K To 35k
Education: Bachelor's (Preferred)
Rotational Shift for Males: Morning, evening, Night shift

Additional Benefits:

Free Medical Insurance
Free Home Internet Facilities
Smart TV Facilities
Allow Work from home

Location: Islamabad and Rawalpindi
Fresher And experienced both can apply for this job
Job Types: Full-time, Contract, Fresher
Salary: Rs20,000.00 - Rs35,000.00 per month"
Teaching assistant requireed,Education Hub Collegiate,Islamabad,https://pk.indeed.com/company/Education-Hub-Collegiate/jobs/Teaching-Assistant-Requireed-d907474caf57d2e1?fccid=24ae7b9e9e1ac9ff&vjs=3,"Rs 45,000 - Rs 66,000 a month",Contract,Posted 24 days ago,Hiring 3 candidates for this role,"Help teachers prepare lesson plansSet up necessary material for classes (e.g. projectors, chemistry sets)Track student attendance and class schedulesReview material taught in class with individual students with learning challengesWork with smaller groups of students for remedial teaching or reinforcing the learning processEscort and supervise students in field trips and school activitiesMake sure classrooms are safe and tidy before classes startAssist teachers with various tasks, like grading assignments and informing parents of their children’s progressHelp students adjust, learn and socialize and report to teachers about possible behavioral issues
Job Types: Full-time, Part-time, Contract
Salary: Rs45,000.00 - Rs66,000.00 per month
Ability to commute/relocate:

Islamabad: Reliably commute or planning to relocate before starting work (Required)
"
Fresh Graduates Required,city grammer school rawalpindi,Rawalpindi,https://pk.indeed.com/company/city-grammer-school-rawalpindi/jobs/Fresh-Graduate-40da212bf37e74f3?fccid=15aaed7201c02a25&vjs=3,"Rs 15,000 - Rs 35,000 a month",Fresher,Posted 16 days ago,Hiring 2 candidates for this role,"We are on the hunt for a self-motivated and fresh teacher to join our qualified team of our school. As a teacher, you will be responsible for cultivating the students’ interest in education and development. Your responsibilities will include grading assignments, evaluating students’ progress, and planning educational activities.
Job Types: Full-time, Part-time, FresherPart-time hours: 20 per week
Salary: Rs15,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Required)
"
Staff Hiring for New Project,MOHSIN SHAHEEN CONSTRUCTION COMPANY,Rawalpindi,https://pk.indeed.com/company/MOHSIN-SHAHEEN-CONSTRUCTION-COMPANY/jobs/Staff-New-Project-38352279a9265af9?fccid=a18d8f3e335733f0&vjs=3,"Rs 32,000 - Rs 55,000 a month",Part-time,Posted today,Hiring 4 candidates for this role,"Workers Needed for New project in rawalpindi/Islamabad.
Positions; Multiple
Salary; 32000 to 55000
Other Benefits; Accommodation
TIME; Full & Part Time
Apply Now..
Job Types: Full-time, Part-time
Salary: Rs32,000.00 - Rs55,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Required)

Education:

High School (Preferred)
"
25 Vacancies Available in Govt Department,Assignment Help In Pakistan,Rawalpindi,https://pk.indeed.com/company/Assignment-Help-In-Pakistan/jobs/Available-Govt-Department-993be8a9abad4b56?fccid=bc9e302cbd275e7e&vjs=3,"Rs 25,000 - Rs 52,000 a month",Part-time,Posted 3 days ago,Application response rate: 63%,"Office Work available Hay hamaray pas .Office me 3 major Departments Hay.1:Hr department2:Management Department3:Education Department
Hr department Me Abhi 2 position Available Hay.1.Human resources Coordinator .2 Human Resources OfficerManagement Me .Office managementSocial Media ManagementMembers ManagementTeam SupervisionFiles ManagementData ManagementCabin Management.EtcEducation Department Mai.Train The Trainers.Member Coaching and Leading.Business Development.
Totally Work Will be In Office Not Any outdoor Activities.
Job Types: Full-time, Part-time
Salary: Rs25,000.00 - Rs52,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Required)
"
Freshers Required As Assistant Superviser,ZEM GARDENIA,Islamabad,https://pk.indeed.com/company/ZEM-GARDENIA/jobs/Fresher-Assistant-Superviser-6fe978c7f15450aa?fccid=22d98d9b915f59ac&vjs=3,"Rs 41,000 - Rs 73,000 a month",Fresher,Posted 30+ days ago,Hiring 5 candidates for this role,"We are looking for a dedicated and knowledgeable Assistant Supervisor to report to our Senior Supervisor. As an Assistant Supervisor, your duties will include recruiting new employees and conducting training sessions, monitoring job performance metrics, and relaying productivity concerns to the Supervisor. Your duties will also include developing training materials.
To be successful as an Assistant Supervisor, you should exhibit extensive experience in optimizing the job performance of employees under the supervision of a Senior Supervisor. Top-notch Assistant Supervisors are experts in training and motivating employees toward achieving a company's goals.
Assistant Supervisor Responsibilities:

Reporting to the Supervisor or other senior managers as required.
Liaising between the Supervisor and other employees.
Hiring and training new employees.
Developing training materials and conducting training sessions and workshops.
Establishing business knowledge and awareness of shared company goals.
Monitoring both individual and team job performance metrics.
Providing staff with technical guidance and assistance.
Relaying productivity concerns to the Supervisor.
Preparing job descriptions and work schedules.
Assisting with other administrative tasks, when required.

Job Types: Part-time, Fresher, Internship
Salary: Rs41,000.00 - Rs73,000.00 per month
Ability to commute/relocate:

Islamabad: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Required)
"
Early Years Teachers,Benchmark Junior School,Rawalpindi,https://pk.indeed.com/company/Benchmark-School-System/jobs/Early-Year-Teacher-cd14e527e73af259?fccid=90db45f46f3d97e4&vjs=3,"Rs 40,000 a month",Full-time,Posted 30+ days ago,Application response rate: 67%,"Benchmark Junior School is looking for Early Years Teachers. Interested applicants may forward their resumes.
This is a Rawalpindi based position.
Only females to apply.
Job Type: Full-time
Salary: From Rs40,000.00 per month
Ability to commute/relocate:

Rawalpindi: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Experience:

Teaching: 1 year (Preferred)

Language:

English (Preferred)
"
