Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Planning Engineer,Recruit Nests HR Consultancy,Karachi,https://pk.indeed.com/company/The-Smart-School(Allah-hoo-campus)-Johar-town/jobs/Planning-Engineer-da9673ec244b4b65?fccid=f576b473a94d2f44&vjs=3,"Rs 45,000 - Rs 95,000 a month",Full-time,Posted 8 days ago,Hiring 1 candidate for this role,"MEP Experience is must - Please read JD and apply only if you have Planning and MEP experience
We are looking for a planning engineer. Day-to-day responsibilities include drawing up work schedules and budgets, delegating tasks, analyzing project specifications and finding cost-effective ways to meet them, liaising with contractors and suppliers, managing resources, and communicating with surveyors, managers, and other engineers.
Planning Engineer Responsibilities:

Understanding project specifications and developing time schedules and budgets that meet them.


Observing existing processes, analyzing staff performance, and addressing deficiencies accordingly.


Monitoring and tracking project progress, and writing up reports.


Attending and scheduling meetings as required.


Delegating tasks and ensuring workers receive feedback.


Understanding and meeting all contract requirements.


Communicating with managers, supervisors, and the rest of the team.


Analyzing technical drawings and providing material and cost estimates.


Ensuring all projects are completed on time and within budgets.

Planning Engineer Requirements:

BS in Mechanical or Electrical Engineering.


Must have Experience 1 to 3 Years.


Proficiency in MS Office & primavera.


Planning and project management skills.


Strong multitasking abilities.


Strong analytical, critical, and logical thinking skills.


Ability to focus under pressure and meet deadlines.

Job Type: Full-time
Salary: Rs45,000.00 - Rs95,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Experience:

MEP: 2 years (Required)
Planning Engineer: 2 years (Required)
"
Software Engineers FRESH GRADUATES,TouchPoint,Karachi,https://pk.indeed.com/company/Catalect/jobs/Software-Engineer-Fresh-Graduate-aab2bb108d05c53b?fccid=f46e60ced252a8b0&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 69%,"We are looking for FRESH GRADUATES IN SOFTWARE ENGINEERING. If you have done graduation in Computer Science then you can apply as well.
Job Type: Full-time"
Junior Assistant Engineer - Electrical,AMRELI STEELS LIMITED,Karachi,https://pk.indeed.com/company/AMRELI-STEELS-LIMITED/jobs/Junior-Assistant-Engineer-4a255248cb567fb6?fccid=942a0aceae2084a0&vjs=3,"Rs 45,000 - Rs 50,000 a month",Full-time,Posted 8 days ago,Application response rate: 60%,"JUNIOR ASSISTANT ENGINEER (ELECTRICAL)
Job Specifications:
Education: BE (Electrical / Electronics)Experience: At least 2-3 years of relevant experience
Job Requirements:
The ideal candidate should be having:

Technical knowledge and experience of Distribution & Rectifier Transformers, LV/MV Switchgears, VCBs, ACBs, MCCBs, Protection Relays, Phase Protection Relays, Overloads and Contactors.
Technical knowledge and experience of PLCs, Drives, Hardware loops, Instruments including HMDs, Pyrometers, Loop Scanners, Photocells, Proximity Sensors, LVDTs, Light Curtains, Temperature/Pressure/Flow Transmitters, Solenoids, Encoders etc.
Knowledge of Automation Software including Step 7 & PCS7.
Capability of working independently with proactive approach, must have good Judgment & problem solving abilities to apply logical & technically valid solutions in case of faults, show high level of accountability & good sense of ownership with good quality of work and strong Interpersonal & Communication Skills.
Capability of minimizing departmental downtimes with focus on root cause eliminations, reducing same fault frequency, ensure timely & regular filling of Shift reports (Checklists, log sheets, history cards etc) with identification/rectification of any abnormal trend.
Knowledge of using SAP for making reservations & raising Purchase Requisitions.
Capability of contributing to Spare Planning & Management with identification of Critical Spares & awareness of Store Stock Inventory
Good Trouble shooting skills, should be well versed in reading & understanding SLDs, Power & control loops, and capable to supervise/direct Electrical Maintenance activities to ensure healthiness and availability of Electrical equipments for better Plant utilization.
Train the fellow colleagues and Electricians for team building and effective utilization.

Job Type: Full-time
Salary: Rs45,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Are you really interested for the position?

Experience:

electrical: 2 years (Required)

Shift availability:

Day Shift (Required)
Night Shift (Required)
Overnight Shift (Required)
"
Production Engineer- Foaming,HRSG,Karachi,https://pk.indeed.com/company/HRSG/jobs/Production-Engineer-6998766491f26b64?fccid=7ee7dfbd109f1eb3&vjs=3,,Full-time,Posted 18 days ago,Hiring 1 candidate for this role,"
Ensures that daily and monthly production targets are achieved with quality standards.
Liaising with other engineers to develop plans that improve production, costs, quality and labor required.
Responsible to reduce the rejection rate, rework volume and line stoppages.
Monitor status of consumables, spares and other inventories and coordinate with the, Stores and Logistics department to ensure availability as per the production plan
Assist Leader Production in planning the activities at respective stations
Ensure 5S & TPM implementation on production floor.
Investigate problems, analyze root causes and derive resolutions.
Analyze daily and monthly production reports to measure progress against target output, present findings to Production Lead and provide own suggestions to improve production efficiency
Responsible for maintaining all safety standards at the workstation
Ensures that all safety rules and procedures are followed.

Provides training and guidance to team members to accomplish production goals.
Job Type: Full-time
Salary: Rs140,000.00 - Rs180,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Chief Engineer,"Dreamworld Resort, Hotel & Golf Course",Karachi,https://pk.indeed.com/rc/clk?jk=38d6f4323324784c&fccid=6ba542fb51ac656e&vjs=3,,Full-time,Posted today,Hiring 1 candidate for this role,"Installations, Operation & maintenance of HVAC Equipment. (AHUs, FCUs, Ultra Low Refrigeration, Package Units, Split units)Installation, Operation & maintenance of On-Grid Solar System.Supervise all Electrical (Generation & Distribution), Mechanical (Hot & Cold Equipment), Electronics, Woodworks, Plumbing, HVAC works & Civil & Finishing Works.Installations, Operation & Maintenance of Generators.Data Analyzing for Wind Turbine System to ensure desired production output.Operation & Maintenance of Elevators.Operations of Computerized Maintenance Management System.Operations of Inventory Management System.Installation,Operation & Maintenance of RO-Plant.
Qualification:
10 to 12 years of relevant experience preferably in Hotel Industry.
Job Type: Full-time"
Shift Incharge- Electrical Maintenance,AMRELI STEELS LIMITED,Karachi,https://pk.indeed.com/company/AMRELI-STEELS-LIMITED/jobs/Shift-Incharge-410951b34037f137?fccid=942a0aceae2084a0&vjs=3,"Rs 70,000 - Rs 80,000 a month",Full-time,Posted 30+ days ago,Application response rate: 60%,"Amreli Steels Limited is seeking talented professionals for the position of Shift Incharge- Electrical Maintenance for its Plant based at Dhabeji.
Job Responsibilities:

Responsible for entire shift operations.
Makes sure daily production and/or sales goals are met.
Supervision and assigning tasks to Assistant/Associate Engineers on daily basis.
Address and resolve trouble shooting activities related to production/ maintenance.
Compiling shift data and submit report to immediate supervisor at shift end.
Maintain quality of product.
Ensure proper housekeeping.
Maintains safe operations by adhering to safety procedures and regulations.
Technical training of subordinates and new employees.

Education: Bachelor degree in Electrical Engineering
Experience: Must have 3 to 4 years relevant experience of electrical maintenance
Skills: Business Acumen, Communication skills, Supervisory Skills, Analytical Skills, MS Office
Job Type: Full-time
Salary: Rs70,000.00 - Rs80,000.00 per month
Education:

Bachelor's (Required)

Experience:

Electrical maintenance: 3 years (Required)

Shift availability:

Day Shift (Required)
Night Shift (Required)
Overnight Shift (Required)
"
Computer Aided Design,HRSG,Karachi,https://pk.indeed.com/company/HRSG/jobs/Computer-Aided-Design-e6cb4fafecc3b728?fccid=7ee7dfbd109f1eb3&vjs=3,"Rs 100,000 - Rs 140,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"A home applicance brand is looking for a CAD Engineer:
The job description is as follows :
· Responsible to assist in all activities related to design and development work of assigned products.
· Responsible to released all Drawings as per Dawlance Procedure
· Responsible to maintain Drawings record & all Engineering Documents
· Responsible to work in Pro-Engineering to make a solid molding parts and Drawing
· Responsible to assist in Design Engineer in various design and testing activities
· Responsible to assist in all activities to Design & Development work for Dawlance products
· Responsible for record keeping & filing work of relevant data & drawings.

Ensure to implement 7S standards in the department
Perform any tasks assigned by departmental head/Management.

Qualification :

Relevant BE Degree(preferably Industrial and Manufacturing, Automotive or Mechanical Engineers)

Experience :

1 – 2 years preferred.
Fresh graduates may also apply if they have worked on CAD projects.

Location: Karachi
Kindly note that this is a Contractual position.
Job Type: Full-time
Salary: Rs100,000.00 - Rs140,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Engineer for Power Generation,Polani Textiles,Karachi,https://pk.indeed.com/company/Polani-Textiles/jobs/Engineer-Power-Generation-f10df4eea98f62fb?fccid=9b052b7abfedafd9&vjs=3,,Full-time,Posted 3 days ago,Hiring 1 candidate for this role,"We are hiring an Engineer / Expert for Power House ""Power Gas generation"".
Should have expertise to produce power by different natural sources like Coal, Bio gas, Rice Husk, Solar or any other natural gas.
To produce power upto 1.2 to 1.5 M.W.
Bachelors degree in relevant field.
Minimum Experience 3 to 5 years.
Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
"
Site Coordinators,Anjum Adil & Associates,Karachi,https://pk.indeed.com/company/Anjum-Adil-&-Associates/jobs/Site-Coordinator-1fa9be1c89f4562e?fccid=2d85e393fa4cdbe8&vjs=3,"Rs 60,000 - Rs 70,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"5 to 6 years experience in Interior or Structure, Civil Engineer or Diploma Holder
Can coordinate construction projects independently
Well versed with checking design & drawings including quality & quantity checkups
Capable to solve execution & operation issues on site
Preparing daily weekly site reports
Apply by sending CVs relevant documents and recent photograph to the mentioned email address
Job Type: Full-time
Pay: Rs60,000.00 - Rs70,000.00 per month
Application Question(s):

What is your present salary?
how many days you will need to join?
"
System Engineer,Indus University,Karachi,https://pk.indeed.com/company/Indus-University/jobs/System-Engineer-b200fcca378a6f61?fccid=b903301badaa6711&vjs=3,,Full-time,Posted 22 days ago,Hiring 1 candidate for this role,"
Manage and monitor all installed systems and infrastructure
Install, configure, test and maintain operating systems, application software and system management tools
Proactively ensure the highest levels of systems and infrastructure availability
Monitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixes
Maintain security, backup, and redundancy strategies
Write and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasks
Participate in the design of information and operational support systems
Provide 2nd and 3rd level support
other IT personnel for problem resolution

Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
