Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Graphic Designer,NexTech Packages (PVT) LTD.,Lahore,https://pk.indeed.com/company/TNA-PVT-LTD/jobs/Graphic-Designer-a39767c6825d4d82?fccid=a385bf3f738f1b9a&vjs=3,"Rs 70,000 - Rs 80,000 a month",N/A,Posted 15 days ago,Hiring 1 candidate for this role,"Qualification: Min. Graduation/Diploma In Relevant Field
Experience: Min. 4 Years (Relevant Industry)
Job Responsibilities:

Designing for Gravure Printing.
Ability to Create different design.
Pre-Job Design Setting.
Cylinder related Design.
Command on Adobe Illustrator/Adobe Photoshop and CorelDRAW.
Other Task Assigned by Line Manager.

Salary: Rs70,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

Do you have experience of using Adobe Photoshop,Adobe Illustrator and CorelDRAW?

Education:

Bachelor's (Preferred)

Experience:

Graphic Designer: 4 years (Preferred)
"
Graphic Designer,Xtreme Technologies,Lahore,https://pk.indeed.com/company/Xtreme-Technologies/jobs/Graphic-Designer-7f59b5ab6177b7b6?fccid=92b2dc545c30bf40&vjs=3,"Rs 60,000 - Rs 80,000 a month",Full-time,Posted 3 days ago,On-going need to fill this role,"We are looking for a experience Graphic Designer to create engaging and on-brand graphics for a variety of media. The Graphic Designer job description includes the entire process of defining requirements, visualizing and creating graphics including illustrations, logos, layouts and photos. You’ll be the one to shape the visual aspects of websites, books, magazines, product packaging, exhibitions and more.
Your graphics should capture the attention of those who see them and communicate the right message. For this, you need to have a creative flair and a strong ability to translate requirements into design. If you can communicate well and work methodically as part of a team, we’d like to meet you.
The goal is to inspire and attract the target audience.
Responsibilities

Study design briefs and determine requirements
Schedule projects and define budget constraints
Conceptualize visuals based on requirements
Prepare rough drafts and present ideas
Develop illustrations, logos and other designs using software or by hand
Use the appropriate colors and layouts for each graphic
Work with copywriters and creative director to produce final design
Test graphics across various media
Amend designs after feedback
Ensure final graphics and layouts are visually appealing and on-brand

Requirements and skills

Proven graphic designing experience
A strong portfolio of illustrations or other graphics
Familiarity with design software and technologies (such as InDesign, Illustrator, Dreamweaver, Photoshop)
A keen eye for aesthetics and details
Excellent communication skills
Ability to work methodically and meet deadlines
Degree in Design, Fine Arts or related field is a plus

Job Type: Full-time
Pay: Rs60,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Graphic Designer: 8 years (Required)
"
Graphic Designer,VOLTRO By Falkenherz,Lahore,https://pk.indeed.com/company/VOLTRO-By-Falkenherz/jobs/Graphic-Designer-24eec65985118b4c?fccid=5309eae7ee27c2e3&vjs=3,"Rs 130,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"Responsibilities

Create visual concepts, by hand and then using computer software, to communicate ideas that inspire, inform, or captivate consumers.
Cultivate a solid body of work
Take the design “brief” to record requirements and clients needs
Work with a wide range of media and use graphic design software.
Think creatively and develop new design concepts, graphics, and layouts
Prepare rough drafts and present your ideas

Skills And Qualifications

Proven graphic designing experience
Possession of creative flair, versatility, conceptual/visual ability and originality
Demonstrable graphic design skills with a strong portfolio
Ability to interact, communicate and present ideas
Up to date with industry leading software and technologies (In Design, Illustrator, Dreamweaver, Photoshop etc)
Highly proficient in all design aspects
Professionalism regarding time, costs and deadlines

Job Type: Full-time
Pay: From Rs130,000.00 per month"
UIUX DESIGNER,LOGIC SQUADS,Lahore,https://pk.indeed.com/company/LOGIC-SQUADS/jobs/Uiux-Designer-a6813b7b2754e75f?fccid=a6472b155c47c688&vjs=3,"Rs 75,000 - Rs 140,000 a month",Full-time,Posted 2 days ago,Hiring 2 candidates for this role,"Benefits: MEDICAL+BI-ANNUAL REVIEWS+ANNUAL BONUS+CAREER ADVANCEMENT+INCREDIBLE WORK ENVIRONMENT
TIMINGS: 9AM-6PM
LOCATION: Johar town, Lahore
Responsibilities

Gather and evaluate user requirements in collaboration with product managers and engineers
Illustrate design ideas using storyboards, process flows and sitemaps
Design graphic user interface elements, like menus, tabs and widgets
Build page navigation buttons and search fields
Develop UI mockups and prototypes that clearly illustrate how sites function and look like
Create original graphic designs (e.g. images, sketches and tables)
Prepare and present rough drafts to internal teams and key stakeholders
Identify and troubleshoot UX problems (e.g. responsiveness)
Conduct layout adjustments based on user feedback
Adhere to style standards on fonts, colors and images

Requirements and skills

Minimum 2-3 years of Proven work experience as a UI/UX Designer
Portfolio of design projects
Knowledge of wireframe tools (e.g. Wireframe.cc and InVision)
Up-to-date knowledge of design software like Adobe Illustrator and Photoshop
Team spirit; strong communication skills to collaborate with various stakeholders
Good time-management skills
BSc in Design, Computer Science or relevant field

Job Type: Full-time
Salary: Rs75,000.00 - Rs140,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Graphic Designer,Anzay Jewellery,Lahore,https://pk.indeed.com/company/Anzay-Jewellery/jobs/Graphic-Designer-35232ef2d37c5b4b?fccid=77165ca0bfbd4b8e&vjs=3,"Rs 50,000 - Rs 60,000 a month",Full-time,Posted today,Hiring 1 candidate for this role,"We are looking for a suitable talent who must be:

Graduate from a reputed institute
Proficient in using Latest Graphic Designing Software
Having 1-2 years of experience with a strong portfolio / designing artworks for commercial purposes (preferably retail fashion brands)
Based in Lahore

Following additional skills would be preferred:

Product photography
Social media handling

Job Location:
Valencia Town, Lahore
Job Type: Full-time
Salary: Rs50,000.00 - Rs60,000.00 per month
Application Deadline: 30/04/2023"
Graphic Designer,TSG,Lahore,https://pk.indeed.com/company/SAEPN-Pvt.-Ltd./jobs/Graphic-Designer-8e5c1d52d3d5e0c8?fccid=f847d37b2764cfe8&vjs=3,"Rs 40,000 - Rs 60,000 a month",Full-time,Posted 15 days ago,Hiring 1 candidate for this role,"We are looking for Graphic Designer with 2 to 3 years of experience as a graphic designer.
Job Type: Full-time
Salary: Rs40,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Graphic Designing: 2 years (Required)
"
Creative Graphic Designer,Nasksoft,Lahore,https://pk.indeed.com/company/Nasksoft/jobs/Creative-Graphic-Designer-7ebd5b995df3238a?fccid=7f4cdb20aa10c404&vjs=3,"Rs 80,000 - Rs 125,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"NASK SOFT is a UK-based software house that provides all sorts of design development and marketing services.

We are looking for a creative Graphic designer with up-to-date knowledge of design solutions with high visual impact.
You will be responsible to work on a variety of projects as demanded by the company that may include Branding, Advertising, Image Editing, and Graphics Design.
To be successful in this position, you’ll be a self-starter, capable of delivering brilliant creative ideas, and show amazing attention to detail.

Responsibilities:

Strong communication, conceptual thinking, typography skills, and design skills.
Design advertising material and any other graphic artwork in line with the brand specs.
Create engaging copy & graphic content to strict deadlines both autonomously and as part of a team, in a dynamic work environment.
Develop innovative and eye-grabbing content for regular brand-focused, promotional posts, and messages to targeted audiences.
Develop digital and print content for marketing campaigns.
Review photos, edit, and make necessary changes.
Portfolio of work.

Requirements:

2-3 years of experience in graphic design.
Bachelor’s degree in graphic design or related field from a reputed university
Adobe Creative Suite
Adobe Photoshop
Adobe Illustrator
Adobe InDesign
Good communication skills.
Demonstrable graphic design skills with a strong portfolio.
A strong eye for visual composition.
Effective time management skills and the ability to meet deadlines.
Able to give and receive constructive criticism.
Understanding of marketing, production, website design, corporate identity, product packaging, advertisements, and multimedia design.
Experience with computer-aided design.

Job Type: Full-time
Salary: Rs80,000.00 - Rs125,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Graphic Designer,Source of serices,Lahore,https://pk.indeed.com/company/CAN-AT-TOTAL/jobs/Graphic-Designer-76cc88703d8b5c47?fccid=99cf26b1d0a4ad31&vjs=3,"Rs 45,000 - Rs 60,000 a month",Full-time,Posted 8 days ago,Hiring 1 candidate for this role,"We are hiring Graphic designer for Johar Town Branch Near Shaukat Khanum Branch
Candidate having more than 2 years of experience are eligible to apply
Candidate Must have Knowledge of Color Schema and adobe suit
Job Timings 10AM to 6PM
Monday to Saturday
Job Type: Full-time
Salary: Rs45,000.00 - Rs60,000.00 per month"
Graphics Designer,The Cyber-Cell Pvt.Ltd,Lahore,https://pk.indeed.com/company/The-Cyber--Cell-Pvt.Ltd/jobs/Graphic-Designer-be881971ed2e3c35?fccid=bbc301a0bae32fc6&vjs=3,"Rs 80,000 - Rs 90,000 a month",Full-time,Posted 4 days ago,Hiring 2 candidates for this role,"The Cyber-Cell Pvt. Ltd are looking for a creative and talented graphics designer to join our team and help us create engaging and visually appealing graphics for our clients. As a graphics designer, you will be responsible for:
- Understanding the project brief and the client's needs and expectations
- Developing concepts, graphics, and layouts for various media such as logos, flyers, brochures, banners, posters, websites, social media, etc.
- Using appropriate software and tools to create and edit graphics
- Ensuring consistency and quality of graphics across different platforms and devices
- Collaborating with other designers, writers, developers, and project managers
- Delivering graphics on time and within budget
- Receiving feedback and making revisions as needed
To be successful as a graphics designer, you should have:
- A bachelor's degree in graphic design or a related field
- A portfolio of previous work that demonstrates your creativity and skills
- Proficiency in Adobe Photoshop, Illustrator, InDesign, and other graphic design software
- Knowledge of design principles, typography, color theory, and branding
- Ability to work independently and as part of a team
- Excellent communication and interpersonal skills
- Attention to detail and accuracy
- A passion for design and a willingness to learn new trends and techniques
Job Type: Full-time
Salary: Rs80,000.00 - Rs90,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Graphic Designer,Morpheus Studios,Lahore,https://pk.indeed.com/company/Morpheus-Studios/jobs/Graphic-Designer-1b4cee29d0a2988e?fccid=c124971f40d73a9c&vjs=3,"Rs 35,000 - Rs 60,000 a month",Fresher,Posted 30+ days ago,On-going need to fill this role,"Skills & Tools Needed:

Abode Illustrator
Canva
Adobe After Effect
Computer fluency in Mac and PC
Knowledge of design techniques, tools, and principles
Typography knowledge
Multimedia content development
Media production, communication, and dissemination techniques
Understanding browser capabilities
Creativity and originality
Fluency of ideas
Attention to detail
Adaptability, flexibility
Client facing communication
Teamwork
Organization, ability to juggle multiple projects
Self-directed

Job Types: Full-time, Internship, FresherContract length: 3 months
Salary: Rs35,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)
"
