Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
HR coordinator,Hasnain group of company,Karachi,https://pk.indeed.com/company/Hasnain-group-of-company/jobs/Human-Resource-Coordinator-dc2c48d22eb84362?fccid=5497ffdd55d735c9&vjs=3,"Rs 35,000 - Rs 50,000 a month",Full-time,Posted 16 days ago,Hiring 6 candidates for this role,"We are looking for an efficient Human Resources (HR) Coordinator to undertake a variety of HR administrative duties.
You will facilitate daily HR functions like keeping track of employees records and supporting the interview process. Your role, also, involves performing tasks with a focus to grow our company’s talent pipelineand improve our sourcing tactics.
HR coordinator.
Deta management
Social media specialist
Job Type: Full-time
Salary: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Human Resource Manager (HR),NS Violet,Karachi,https://pk.indeed.com/company/NS-Violet/jobs/Human-Resource-Manager-d71d14d11aaa310e?fccid=da0ae3515470b89b&vjs=3,"Rs 100,000 a month",Contract,Posted 30+ days ago,Application response rate: 61%,"Lead and direct the routine functions of the Human Resources (HR) department including hiring and interviewing staff, administering pay, benefits, and leave, and enforcing company policies and practices.
Job Type: ContractContract length: 24 months
Salary: Up to Rs100,000.00 per month
Ability to commute/relocate:

karāchi: Reliably commute or planning to relocate before starting work (Required)

Education:

Master's (Preferred)

Experience:

HR: 3 years (Preferred)

Language:

English (Preferred)
"
Human Resource Manager,Digilaxy,Karachi,https://pk.indeed.com/company/Digilaxy-Ltd/jobs/Human-Resource-Manager-8fa2ba86931d9f6f?fccid=888f52afaf2ec30a&vjs=3,"Rs 60,000 - Rs 100,000 a month",Full-time,Posted 30+ days ago,Application response rate: 63%,"Job Summary:
The Human Resource Manager will lead and direct the routine functions of the Human Resources (HR) department including hiring and interviewing staff, administering pay, benefits, and leave, and enforcing company policies and practices.
Supervisory Responsibilities:

Recruits, interviews, hires, and trains new staff in the department.
Oversees the daily workflow of the department.
Provides constructive and timely performance evaluations.
Handles discipline and termination of employees in accordance with company policy.

Duties/Responsibilities:

Partners with the leadership team to understand and execute the organization's human resource and talent strategy particularly as it relates to current and future talent needs, recruiting, retention, and succession planning.
Provides support and guidance to HR generalists, management, and other staff when complex, specialized, and sensitive questions and issues arise; may be required to administer and execute routine tasks in delicate circumstances such as providing reasonable accommodations, investigating allegations of wrongdoing, and terminations.
Manages the talent acquisition process, which may include recruitment, interviewing, and hiring of qualified job applicants, particularly for managerial, exempt, and professional roles; collaborates with departmental managers to understand skills and competencies required for openings.
Analyzes trends in compensation and benefits; researches and proposes competitive base and incentive pay programs to ensure the organization attracts and retains top talent.
Creates learning and development programs and initiatives that provide internal development opportunities for employees.
Oversees employee disciplinary meetings, terminations, and investigations.
Maintains compliance with federal, state, and local employment laws and regulations, and recommended best practices; reviews policies and practices to maintain compliance.
Maintains knowledge of trends, best practices, regulatory changes, and new technologies in human resources, talent management, and employment law.
Performs other duties as assigned.

Required Skills/Abilities:

Excellent verbal and written communication skills.
Excellent interpersonal, negotiation, and conflict resolution skills.
Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite or related software.
Proficiency with or the ability to quickly learn the organizations HRIS and talent management systems.

Education and Experience:

Bachelor's degree in Human Resources, Business Administration, or related field required.
A minimum of three years of human resource management experience preferred.
SHRM-CP or SHRM-SCP highly desired.

Job Type: Full-time
Salary: Rs60,000.00 - Rs100,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Is it feasible for you to commute to DHA Phase V, Khadda Market?

Education:

Bachelor's (Required)

Experience:

Human Resource: 3 years (Required)

Language:

English (Required)
"
HUMAN RESOURCES MANAGER,Corplution,Karachi,https://pk.indeed.com/company/Corplution/jobs/Human-Resource-Manager-3510821d808ea756?fccid=bcdb6415b7df78e2&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 60%,"Qualifications
Bachelor’s Degree (16 years of qualification) or equivalent from an HEC recognized
Experience
· Minimum (03) years of experience in Human Resource Management.
Job Type: Full-time
Salary: Rs116,000.00 - Rs215,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Human Resource Executive,HR Ways,Karachi,https://pk.indeed.com/company/HR-Ways/jobs/Human-Resource-Executive-62a0b737d51dd993?fccid=be81ab2837fd9006&vjs=3,"Rs 40,000 - Rs 50,000 a month",Full-time,Posted 30+ days ago,On-going need to fill this role,"Job Title: Human Resource Executive
Job Experience: 0 to 1 year
Job Location: Karachi
Job Timings: Monday to Friday (10:00 am to 7:00 pm)
Company Portfolio: Hiring for a Well Established Firm

Develop and implement HR strategies and initiatives aligned with the overall business strategy
Bridge management and employee relations by addressing demands, grievances or other issues
Manage the recruitment and selection process
Support current and future business needs through the development, engagement, motivation and preservation of human capital
Develop and monitor overall HR strategies, systems, tactics and procedures across the organization
Nurture a positive working environment
Oversee and manage a performance appraisal system that drives high performance

About HR Ways: HR Ways is a Technical Recruitment Firm helping software houses and IT Product companies internationally and locally to find IT Talent. HR Ways is engaged by 150 + Employers ranging from world’s biggest SaaS Companies to most competitive Startups. Find out more at www.hrways.co
Job Type: Full-time
Salary: Rs40,000.00 - Rs50,000.00 per month"
HR EXECUTIVE,AL MASOOD GROUP OF COMPANIES,Karachi,https://pk.indeed.com/company/Hyundai-XTeer-AL--Masood-Group/jobs/Human-Resource-Executive-efba3de540612918?fccid=632f5c55b036a364&vjs=3,"Rs 50,000 - Rs 55,000 a month",Full-time,Posted 26 days ago,Hiring 1 candidate for this role,"We are looking to employ an HR Executive with excellent communication skills, both written and verbal.Responsibilities:

Preparing job descriptions, advertising vacant positions, and managing the full recruitment process.
Orientation of new employees, smooth onboarding and employees personal record filing.
Ensuring that all employees are organized and satisfied in Company's work environment.
Overseeing the health and safety of all employees.
Employees grievances and counseling.
Preparation of reports as and when required by Top Management
Payroll processing
Communicating with staff about issues affecting their performance.
Ensuring accurate and proper record-keeping of employee information in electronic and digital format.

Education and Skill Requirements:

Bachelor’s / Masters degree in human resources.
Minimum 4 to 5 years of relevant experience in human resources.
Additional relevant training/certification will be an added advantage.
Able to engage in meaningful negotiation and resolution.
Excellent verbal and written communication skills.
Protecting the interests of all employees.
Understanding of HR functions.
Good Command on MS Office

Job Type: Full-time
Salary: Rs50,000.00 - Rs55,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 16/03/2023"
Human Resource Executive (Female),SYBEXLAB Pvt Ltd.,Karachi,https://pk.indeed.com/company/SYBEXLAB-Pvt-Ltd./jobs/Human-Resource-Executive-c6f8d4f826c4db2d?fccid=30b310929c1be5e4&vjs=3,"Rs 30,000 - Rs 45,000 a month",Internship,Posted 30+ days ago,Hiring 3 candidates for this role,"Job description
We are looking for a Female HR Executive to join our team and implement various human resource programs.
Responsibilities

Creating a recruitment plan and calendar according to operation and sales projections
Generating official internal documents such as offer letters, appointment letters, salary slips and warning letters
Creating onboarding plans and educating newly hired employees on HR policies, internal procedures and regulations
Maintaining physical and digital files for employees and their documents, benefits and attendance records
Creating employee engagement plans, getting necessary budget approval and initiating activities
Collaborating with outside vendors, upper management and employees to maintain CSR standards conscripted by authorities
Evaluating employee performance and appraising their pay scale accordingly
Taking appropriate disciplinary action against employees who violate rules and regulations and addressing employee grievances

· Compensation and benefit plans
· Assist in talent acquisition and recruitment processes
· Conduct employee on boarding and help organize training & development initiatives
· Provide support to employees in various HR-related topics such as leaves and compensation and resolve any issues that may arise
· Promote HR programs to create an efficient and conflict-free workplace
· Assist in development and implementation of human resource policies
· Undertake tasks around performance management
· Organize quarterly and annual employee performance reviews
· Maintain employee files and records in electronic and paper form
· Enhance job satisfaction by resolving issues promptly, applying new perks and benefits and organizing team building activities
· Ensure compliance with labor regulations
Requirements

6months- One Year of experience in the relevant field.
Proven experience as an HR Executive
Knowledge of administrative tasks and responsibilities
Excellent verbal and written communication skills
Advanced computer skills, including data entry, data processing, communication tools and payroll and human resources software
Problem-solving skills and resourceful thinking
Leadership and coaching skills
Strong empathy and interpersonal skills
Detail-oriented with excellent organizational skills
Attention to detail and analytically driven

· Understanding of general human resources policies and procedures
· Good knowledge of employment/labor laws
· Outstanding knowledge of MS Office.
· Aptitude in problem-solving
· Desire to work as a team with a results driven approach
· Bachelors/ Masters in Business administration or relevant field
· Additional HR training will be a plus
Job Type: Full-time
Salary: Rs30,000.00 - Rs45,000.00 per month
Job Types: Full-time, Internship
Salary: Rs30,000.00 - Rs45,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Part Time Human Resource Executive,Desire Shopping Store,Karachi,https://pk.indeed.com/company/Desire.pk/jobs/Human-Resource-Executive-af3429cdfb804dd4?fccid=a18adf095da490d6&vjs=3,"Rs 18,000 - Rs 22,000 a month",Part-time,Posted 14 days ago,Application response rate: 66%,"Job Description:
We are looking for a qualified HR Executive to join our team in Karachi. The ideal candidate will be responsible for overseeing all aspects of HR practices and processes in our organization. The HR Executive will play a crucial role in developing and implementing HR strategies and initiatives aligned with the overall business objectives.
Responsibilities:

Develop and implement HR strategies and initiatives aligned with the overall business objectives
Manage the recruitment and selection process, including job postings, candidate screenings, and interviews
Implement and manage performance management systems, including performance evaluations and goal setting
Develop and implement employee retention programs and employee engagement initiatives
Administer compensation and benefits programs, including salary negotiations and benefits administration
Ensure compliance with all applicable labor laws and regulations
Develop and maintain HR policies and procedures
Handle employee grievances and provide counseling and support when necessary
Conduct training sessions and provide coaching to employees when needed
Manage HR-related documentation and record-keeping
Prepare the payroll on a monthly basis for all staff.

Requirements:

Bachelor's degree in Human Resources or related field
At least 2 years of experience in an HR Executive role
Solid knowledge of HR practices and labor laws in Pakistan
Excellent communication and interpersonal skills
Strong organizational and time-management skills
Ability to multitask and work well under pressure
Proficient in Microsoft Office and HR software

If you meet the requirements and are interested in joining our team, please submit your resume and cover letter. We look forward to hearing from you.
Job Timings: 5.30 PM to 10 PM (Mon - Sat)
Location: MTT Building, Beside Techno City, ii Chundrigarh Road, Karachi.
Job Type: Part-timePart-time hours: 27 per week
Salary: Rs18,000.00 - Rs22,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Human Resource Executive: 1 year (Required)

Application Deadline: 12/04/2023"
Human Resources Executive,Pluton,Karachi,https://pk.indeed.com/company/Pluton/jobs/Human-Resource-Executive-2b2ad65a32167ecb?fccid=3263f17d5813e082&vjs=3,,Full-time,Posted 12 days ago,Hiring 1 candidate for this role,"We are looking forward to hiring a smart and dynamic individual to join our Human Resources departmentas an HR Executive.
As an HR Executive, you should be able to handle and manage the department budgets. Prior work experience as an HR Executive or a similar role will be an added advantage for the candidate. You should possess excellent communication skills and the ability to manage stress efficiently.
If you think you can take up this job role as an HR Executive then send in your job application right now. We will love to have word with you.
Responsibilities

Planning and designing employees benefit packages.
Executing the employee's annual review procedures.
Maintaining a detailed record of the company’s employees.
Administering all the hiring processes of new employees.
Analyzing and monitoring all the department's budgets.
Supervising the day-to-day operations of the Human Resources department.
Ensuring all the employees comply with the HR policies.
Creating new HR policies and updating the existing ones.
Overseeing the employee's termination process.
Counseling employees as and when required.
Conducting exit interviews to identify the reason for termination/resignation.
Organizing events and conferences for the employees.
Managing workplace safety issues and complaints.
Maintaining and recording employee attendance.
Adhering to all the company’s rules and regulations.

Requirements

Bachelor’s degree in Human Resource Management or related field.
1+ years of working experience as an HR Executive, HR Analyst, or a similar role in the Human Resources department.
Excellent knowledge and understanding of the HR cycle.
Ability to work in a critical environment.
Exceptional active listening skills.
Ability to demonstrate good leadership skills.
Good conflict resolution abilities.
Ability to work as a part of a team.
Ability to manage time efficiently.

· Timings 10 am to 7 pm
· Location: Karachi
· Job Types: Full-time
Benefits details:
· Medical Allowance
· Leave Travel Allowance
· Conveyance Allowance
· Annual Paid leaves
· EOBI
· Paid Courses
· Semi-Annual Increments
· Performance-based Bonuses
· Leave Encashment
· Interested people can email at careers@pluton.ltd
Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Human Resources (HR) Manager,Penta Developments,Karachi,https://pk.indeed.com/company/Penta-Developments/jobs/Human-Resource-Manager-aeda29dc5dca8e05?fccid=6ad0e6c9e35e2971&vjs=3,,Full-time,Posted 30 days ago,Hiring 1 candidate for this role,"Penta Developments is looking to hire a passionate candidate for its ‘Human Resources (HR) Manager’.
About Penta:
Penta Developments Pvt. Ltd. is a 360 Real-Estate Property Management company with expertise in the acquisition of land, crafty architecture, carefully curated premium brands, tasteful interiors, and sales to after-sales service. We at Penta ensure to build spaces that are a blend of comfort and convenience.
Job Description:
Penta Developments Pvt. Ltd. has a long history of hiring engaged, productive employees, and we’re looking for a human resources (HR) manager to continue this tradition. The ideal candidate will have experience in HR or employee recruitment, with a thorough understanding of HR policies and procedures. The bulk of the role will involve employee orientations, benefits administration, compensation, rewards, and conflict resolution, and there is great opportunity for developing and refining systems. We’re eager to find a human resources manager who connects easily with people and has a detail-oriented mindset for handling the dynamic nature of today’s workforce.
Objectives of this role

Oversee and refine employee standards and procedures, using existing HR systems as well as improved or recommended processes
Maintain and enhance employee benefits programs, including compensation, health insurance, expense reimbursement, and vacation
Assist with recruitment efforts, and prepare employees for their assignments by establishing and conducting orientation and training programs
Ensure compliance with national and local HR regulations by conducting investigations and maintaining records
Identify and recommend improvements to internal standard operating procedures, including team restructuring and morale building

Responsibilities

Support departments in developing and delivering strategic HR plans that fit with the overall business direction
Plan, monitor, and appraise HR activities by scheduling management conferences, resolving employee grievances, training managers in how to coach and discipline, and counseling employees and supervisors
Champion the onboarding process by ensuring that it's high-quality and up to date, and provide clarity and connection for employees so their roles serve the overall business vision
Maintain management guidelines by preparing, updating, and recommending human-resources policies and procedures
Build strong relationships with external suppliers, fostering trust and promoting collaboration
Handle confidential matters with discretion

Required skills and qualifications

Three or more years of experience in human resources or employee recruitment
Exceptional communication and interpersonal skills and an ethical mindset
Adept at problem-solving and conflict resolution
Strong problem-solving and conflict-resolution skills
Familiarity with HR software

Preferred skills and qualifications

Bachelor’s degree (or equivalent) in human resources or related field
Strong understanding of national laws related to HR

Offfice Location: Al-Murtaza Commercial, DHA Phase-VIII, Karachi.
Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
