Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Senior Fullstack Web Developer - CONTRACT,Tectah,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AK3362-jHyvkTTswWP_CbtAyyl281BnDf2ZQL2eSWJOs9vsnOk1RprAGLGBrJY_JKSn6V5U15r4uYeIvzyQO1s6MvWwiOKGYZH-qt5YOw52yJIVDAoxdLqEPfifSMHsv1ORTqaY72nS3FziqF2RuU_4rTC3lAqm-8xYqyWy779tg7Wzd0VUVtmRHsvKeHkX9IIuUdMGqbabB8MaZDfp-GH10WGbr5kLMXkuNi6EVp4xZ2H4ZB0f2sOAgXPZ7V0zpGrmSI_KGCHuykZUeDSlhKN6gh-tbQ9oCFyz19gqXQWPd1i65a06VopdyDdiXwjanvFGRqvPzdssrD4zleTFLC6jxPHDmoLq-3p7-_gSDcl8qR_qomNSXHwfl4HoCrtcJWPbpH3o58zUOvaA49cFDMrPWKb4zSPaOuwbYfIyrVbKenBRCOENQPFvupEPgXGcbNs4-3Nt6iBeXJnxttWIdd1eLAuGmG_dtyfcpF3VIRPpZM_hwxYj5w_0j_w7Tdl8QhPGSvPrHFEpULZoG_MYAz1kbRd86qePJxhptNTYKq1Ww==&xkcb=SoDL-_M3RxdU5WQHpx0LbzkdCdPP&p=0&fvj=1&vjs=3,,Contract,Posted 3 days ago,Application response rate: 92%,"Contract is for 3 months, with a potential to increase to 6 months.
Tectah is a US, UK and Ireland based card payments and technology software provider to SME’s.
We provide our customers with the solutions they need to make their business a success. These solutions include POS Software and Systems, mobile apps for ordering and web apps for engaging with consumers either through loyalty or reservations. By linking these solutions to the Tectah EPoS (till) system, we help hospitality brands to understand their customers’ behaviour and preferences, enabling them to excel in an increasingly competitive market.
What you'll do
You will be responsible for creating and implementing the POS Software for the F&B and Grocery Market. You will help to modernise the hospitality industry by working on the latest features and improvements for these applications. You will feel a sense of pride when you see the work you do having a direct positive impact in this industry.
Your day will be split between writing new features, improving existing code, code reviews, and story estimation. We believe in making things better and are always open to new ideas that can help the team work better.
Working within an agile delivery team, you will participate in all aspects of delivering software projects. You will participate in the technical design, development, and maintenance of our environments. You will ensure quality by writing unit tests and performing code reviews.
Who you are
You will enjoy a fast-paced development environment and writing good quality code is important to you. You will have had experience writing complex applications in at least one OO programming language but you will enjoy learning new technologies and be happy to sometimes work on code written in a language you haven’t used before.
You will have experience with Web development and be at home writing SQL queries and building websites to life from designs. You will have time to help out your colleagues and not be afraid to ask them for help sometimes. You will be keen to bring suggestions for improvements to ensure the team continues to produce industry-leading tools and technologies.
You MUST be able to demonstrate strong experience in the following areas:

Proven industry experience with customer facing or internal facing web applications
3+ years minimum experience in writing applications in one or more of the following:
C#, .NET Core, .NET 6, .NET Framework,
PHP, Symfony, Laravel, Wordpress
JS/React
HTML/CSS, Wordpress design
Experience with Microsoft SQL/MySQL, including stored procedures, indexes, triggers, and functions
Experience in a varied range of integration and API architectural styles (REST, SOA, microservices, message bus, API gateways/proxies)
Experience writing unit tests
Knowledge of Computer Science fundamentals
Ability to translate business goals into technology solutions
Strong communication skills, with the ability to reduce complex problems and communicate at all levels
Able to work as part of a multi-disciplinary team but also being known as a self-starter with a proactive approach

You will have an interest in and may be able to demonstrate experience in:

Good understanding and practical knowledge of the full software development lifecycle; design patterns; architecture patterns; SOLID principles; Cloud technology; API maintenance; CI/CD and DevSecOps.
Experience in app development
Deploying Docker containers and Kubernetes
Cloud platforms such as AWS, Azure, GCP
TDD and BDD

What we require:
Access to a computer with strong internet connection
UK Shift Pattern, we ask our staff to work 9am – 5pm GMT.
What we value
Passion, Teamwork, Innovation and Professionalism are the values we believe make us the company we are. We’re looking for someone who understands great culture and will help us shape it as it evolves.
Job Type: ContractContract length: 3 months
Salary: Rs180,000.00 per month
Experience:

web development: 3 years (Required)

Expected Start Date: 01/05/2023"
DevOps Engineer,Eon,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClHMUJiX01iDsShR5hr9yjgSU6XaSMXAtIOw_ZpMGbi1M2iOBFvwvr5l9AkBrfsYkrypnTUAVxZTC7GytQhuj3sY4WtaL81G5Z95H0nJzSA2SE3gb9tFlVSf0qoQ6swfsT0e3hmZlTEAemznfeNvx73fSPuJQq1JG3D8PxJ81lC4U7mjB2c9Fl9C2Iqr_D5xtCHBT4c9GFTgBizgjJWOuqrTmzcMwFMMM3IlKUucA7QZhU9GpMWU42cgW4zwCoF832n0lUWhxC8lyN6kuofxo6JI6wpOhyUa3as1R7SWKM-a3nkzOahTbRnzatrkKe1dmgDJwcHms_LcDyKM5c__EZTh5CmDng2NaaL12Ii5vIv9_0K0ZAsQnOrBhegTYv7_-pNr_1pAUs6Vjv0KOXYdIq4jVxF-jgbvai2qTy_a9lXYKYqVgXmpu1-ACzAFU5-xinK0xciIDvNOLdekJQ7iy7OiV-xrLD8hs1rpZXo2y_54Bv9Ah9jEsmg2n0Sq9fIFQU7-X5efhtmVmCn1YoC2C4&xkcb=SoB_-_M3RxdU5WQHpx0KbzkdCdPP&p=1&fvj=1&vjs=3,,Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"DevOps Engineer – Lahore, Pakistan
On-Site
At Eon, our mission is to make patients healthier and healthcare affordable. Eon Patient Management, or EPM as we like to call it, identifies patients with disease risk and streamlines clinical decision analysis so clinicians can work at the top of their licenses. With unique solutions across multiple disease states, we drive unprecedented adherence to care pathways, so that more patients are seen and more survive. When patients win, healthcare systems win - both clinically and financially.
As a market leader in incidental tracking and patient management, Eon is pioneering the use of Artificial Intelligence to enable healthcare enterprises, ranging from small health systems to large, national-scale IDN’s. We have a unique and dynamic team that is focused on results, and employment opportunities both local to our Denver and Pakistan offices, Canada, and remote based.
The Opportunity
Eon is looking for a DevOps Engineer that wants to make a difference in healthcare.
As a DevOps Engineer you will:

Design Multi-cloud infrastructure (AWS and Azure) that is secure, scalable, developer-friendly, and highly available.
Handle the full DevOps toolchain and be the go-to person for developers.
Administer and troubleshoot Linux/Windows based systems.
Build and maintain operational tools for deployment, monitoring, and analysis of AWS infrastructure and systems.
Responsible for monitoring, logging, alerting, tracing, security, CI/CD, and core automation services.
Design and implement novel solutions to automate cloud-environment provisioning
Automate and improve development and release processes
Ensure that systems are safe and secure against cybersecurity threats

Skills and Requirements:

Bachelor’s Degree in Computer Science, Software Engineering or IT
At least 3 years of experience building and maintaining AWS or Azure infrastructure.
Solid experience in a python development role to develop utility functions, DevOps focused.
Solid experience with Containerization | Experience building docker images and running and troubleshooting docker containers.
Must have experience with AWS ECS and EKS
Must have Infrastructure Automation experience with Terraform / Cloud Formation.
Experience in the design, maintenance and management of ELK stacks.
Strong scripting skills (ability to write Bash script, Python etc.)
Strong experience with python, Node.js cloud SDKs i.e. boto3 for using AWS services API.
Solid understanding of fundamental technologies like DNS, Load Balancing, SSL, networking, and security best practices.
Familiarity with Cybersecurity compliance standards such as SOC2, HIPAA, CIS Benchmarks
Familiarity with common web services, technologies, architectures, and related practices to make them reliable

“So what’s in it for me,” you ask?
We pride ourselves for being a culture-based company buzzing with high-energy. Aside from the enthusiastic environment, you'll enjoy:

Provident Fund
Competitive salary
Health insurance
Referral bonuses
Generous vacation time
Paid Maternity and Paternity leave
Work from home days
Lunch facility within office
Travel allowance
Company equipment (laptop, internet device, screens etc)
Professional development and career growth opportunities
Awesome team members

Check us out at eonhealth.com!

If we still have your attention, don't delay, send your resume to us at alizeh.manan@eonhealth.com.

EON is proud to be an equal opportunity employer and prohibits discrimination and harassment of any kind. Our culture celebrates diversity and we are committed to creating an inclusive environment for all team members.
Job Type: Full-time
Pay: Rs2,400,000.00 - Rs3,600,000.00 per year
Application Question(s):

How many years of experience do you have with AWS?
How much experience with Containerization?
Have you ever used boto3 for automating AWS?
Do you have experience with automating release processes?
"
Full-Stack Developer – PHP/API/JS/Laravel (WFH) Full time /Part time,Crypto Express (Thailand) Co.Ltd.,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A11KgnU3QEeeod5csTNGYsd4tpnVTBRwXWz7I-11h5AUtIuEuGdf0zg_Ny7wKxrxg_k5YTDPXl1KmgkMKPiR_sCCaXVMSjiqfqAHpOXII05F8S8nv-4x2wLc1rehmkr7zZPtx4iEJzwFeN3ZjUFqUlAPAf0XAKI6sJsBLcKp3C0yBU__t4Ui9UWfLjdlmPUgdWJh7ELePZzunC-aLa1Ovk8YAF2mqbssRSXk4eWsgTwe_WhKrPeCBrZIPHqVmH8g0ywaZpBXTY4LITqliX1Qarajoa-IcO8LyQx-YzGROrM_A44brCoD1cmMOkmuahBD4to74v-RNZ64-750qcjEzzuoCbGbf7Bu955MrKeicYBQngIIXqeq5SUhkngEsjAAUAN85uVIlePl6qlOER6v6-6bIZL6AEmiY3PYp6xCaKz_9JNg54etQa_3HR4aSZDvQ1YSlBPY3ScmfGGzBINcrZh-s-qKbtZappT6TZkCfkTEsNO_3Wd7_HyLwwRuhIosmJGuMNPM9Qpt_N6pQWJj-69MZaEAedav-6njYqdneABbsGtw3QEYV5GhVCbGJpxBwgkmRZ4N35OQ==&xkcb=SoDi-_M3RxdU5WQHpx0JbzkdCdPP&p=2&fvj=1&vjs=3,"Rs 25,000 - Rs 100,000 a month",Part-time,Posted 30+ days ago,Hiring 10+ candidates for this role,"Full Job Description
We have multiple Senior Full Stack Developers/ Software Engineers positions open work from home (WFH) . Candidate must have a strong programming background and expertise in Vue, PHP, MYSQL, Laravel, REST Api, Third Party API Integrations, ReactJS, MaterialUI, Java Swing, jquery and Web Services and understand Figma UX.
Candidates will work closely with other software team members, such as Product Manager, system analysts, software engineers, testers, and web UI/UX designers. The candidate is able to optimize and fine-tune web applications for maximum performance, speed, and stability.

Experience with PHP/ MYSQL/ Bootstrap/ Laravel/ Vue Js or other Framework experience required.
RESTful APIs, implement API-first design practices to allow the API to reflect the best possible design and developer experience.
Understanding the full software development lifecycle (SDLC).
Build, test, review, including our suite of APIs and microservices, editorial tools, and web frontends
Partner with other engineering squads to collaboratively develop our APIs, content management, and frontend systems
Collaborate on the design of system architecture, data models, data flows, schemas, and API contracts
Collaborate with product managers, designers to shape the product
Be a significant contributor to the implementation of new architectures, technologies, and methodologies in our group
Our data stores include MYSQL, PostgresSQL, and more. Experience with ElasticSearch for queries and Redis for caching.
Must-Have Experience utilizing RESTful APIs, JSON, XML, HL7 and JavaScript understanding (way beyond jQuery)
Source Control Management experience (Github it ;-)
Experience with version control, peer review, and other modern development practices.
Experience working in the AWS , Microservice ecosystem is highly desirable
4+ years of experience designing, implementing, developing and delivering advanced PHP . Vue js web applications,java

Job Types: Full-time, Part-time
Salary: Rs25,000.00 - Rs100,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

PhP: 6 years (Preferred)
Vue js: 5 years (Preferred)
Rest API , Web Socket API: 5 years (Preferred)
Mongo DB: 5 years (Preferred)
My Sql: 5 years (Preferred)
Laravel: 5 years (Preferred)
javascript: 5 years (Preferred)
Figma: 3 years (Preferred)
QA: 3 years (Preferred)
Clickup , Jira: 3 years (Preferred)
responsive web front end: 5 years (Preferred)
"
Web Developer (WordPress),Digital Destiny Pvt Ltd,Lahore,https://pk.indeed.com/company/Digital-Destiny/jobs/Web-Developer-195854738820fabd?fccid=ff44b3b24ffdb313&vjs=3,"Rs 35,000 - Rs 45,000 a month",Internship,Posted today,On-going need to fill this role,"We are looking for a Web Developer who would be responsible for designing, coding, and modifying websites, from layout to function and according to the provided instructions.
Job Requirements
· Bachelor's degree in Web development or related field, or relevant experience.
· Solid knowledge and experience in programming applications.
· Proficient in JavaScript, HTML, CSS, Wordpress.
· Proficient in My SQL.
· Solid ability in both written and verbal communication.
· Knowledge of programming language and technical terminology.
· Able to develop ideas and processes and clearly express them.
· High degree of independent judgment.
· Able to solve complex problems.
Job Duties
· Website and software application designing, building, or maintaining.
· Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.
· Directing or performing Website updates.
· Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.
· Editing, writing, or designing Website content, and directing team members who produce content.
· Back up files from Web sites to local directories for recovery.
· Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.
· Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.
Salary:
35k to 45k
Location:
Plot 216, Gulshan Block Allama Iqbal Town Lahore.
Important Note:
· We aren't a third party and hiring directly.
· This is a night shift job in US Based Call Center
Job Types: Full-time, Part-time, Temporary, Internship, Contract, New-GradContract length: 12 monthsPart-time hours: 54 per week
Salary: Rs35,000.00 - Rs45,000.00 per month
Application Question(s):

This is an on-site night shift job. Are you able to do that?
"
Front End Developer,Dawnsol,Lahore,https://pk.indeed.com/company/Dawnsol/jobs/Front-End-Developer-a67f29f48850dbc2?fccid=68009ca34c9cd618&vjs=3,"Rs 50,000 a month",Full-time,Posted 22 days ago,Hiring 2 candidates for this role,"We are seeking a talented and experienced WordPress Front End Developer to join our team. The ideal candidate should have an eye for clean and artful web design, possess superior coding skills, and be able to translate our client’s needs into functional and visually appealing websites.
Responsibilities:- Design, develop and deploy websites using WordPress- Create web pages using HTML, CSS, and JavaScript- Analyze and optimize web page performance- Create prototypes, test and debug web pages- Ensure websites are mobile-friendly and cross-browser compatible- Stay up-to-date with emerging technologies
Requirements:- Proven experience in front-end web development (theme builders)- Expertise in HTML, CSS, and JavaScript- Good knowledge of WordPress development- Experience with responsive design and mobile optimization- Ability to work in a fast-paced environment- Excellent problem-solving and communication skills- Bachelor’s degree in Computer Science or related field
Job Type: Full-time
Salary: Up to Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)
"
Junior Frontend Developer,Softpyramid,Lahore,https://pk.indeed.com/company/Softpyramid/jobs/Junior-Frontend-Developer-eeeb9e5a6b396369?fccid=b9a4dfa4ebe95529&vjs=3,"Rs 50,000 - Rs 65,000 a month",Full-time,Posted 30+ days ago,Hiring 2 candidates for this role,"Soft Pyramid
Job Description : Front End Developer

Must be proficient in coding languages such as HTML,CSS and Javascript.
Familiar with javascript frameworks ,Bootstrap , Bootstrap Material Design ,jQuery, and UI layouts.
Analytical and Detailed Oriented.
Passionate about bringing innovation in user experience and always come up with ideas keeping user experience and esthetics in consideration .
Eagerness to collaborate with team members and focus on knowledge sharing and learning .
Collaborate with senior developers and Team Leaders to define the overall look and design of web applications and implement innovative solutions.
Understanding client’s requirements and must be able to create functional,creative and user-friendly interfaces
Writing front end design codes in programming languages such as HTML,CSS and Javascript.
Translate PSD and Adobe XD files into HTML/CSS Designs .
Build reusable codes and libraries for future use .
Ensure technical feasibility of UI/UX designs before submitting them to backend.

Skill Set Requirement

Must be proficient in coding languages such as HTML,CSS and Javascript.
Familiar with javascript frameworks ,Bootstrap , Bootstrap Material Design ,jQuery, and UI layouts.
Analytical and Detailed Oriented.
Passionate about bringing innovation in user experience and always come up with ideas keeping user experience and esthetics in consideration .
Eagerness to collaborate with team members and focus on knowledge sharing and learning .

Job Type: Full-time
Pay: Rs50,000.00 - Rs65,000.00 per month
Expected Start Date: 10/02/2023"
Frontend Developer,Citrok,Lahore,https://pk.indeed.com/company/Citrok/jobs/Frontend-Developer-29669cf12fc20f05?fccid=bf074c76c2354d7b&vjs=3,"Rs 50,000 - Rs 70,000 a month",Full-time,Posted 5 days ago,Application response rate: 63%,"Your Application will be considered only by filling out this form:https://forms.gle/tRrzJyiYJNVwEpF26
CITROK is seeking a skilled and experienced Frontend Developer to join our team.
Job Responsibilities:
· Write clean, modular, and well-documented HTML5, CSS3, and JavaScript code.
· Implement UI designs using popular frontend frameworks like Bootstrap and jQuery.
· Collaborate with design and development teams to create mockups and translate them into responsive web pages.
· Ensure that all web pages are optimized for performance and speed.
· Develop and maintain cross-browser compatible web pages.
· Test and debug code to ensure that the web pages function correctly across different devices and platforms.
· Stay up-to-date with emerging trends and technologies in front-end development.
Requirements:
· Strong knowledge of design principles and experience in creating visually appealing interfaces using custom CSS and JavaScript.
· Experience with a mockup to responsive design conversion.
· Familiarity with cross-browser compatibility issues and debugging techniques.
· Familiarity with version control systems such as Git.
· Experience with responsive design techniques and mobile-first development.
· Ability to write clean, well-documented, and reusable code.
· Excellent communication and collaboration skills.
· Experience working in an Agile development environment is a plus.
Job Type: Full-time
Pay: Rs50,000.00 - Rs70,000.00 per month
Application Question(s):

If you have filled out the initial screening google form, then please write ""Yes"" 

Here is the Form URL: https://forms.gle/tRrzJyiYJNVwEpF26"
Frontend Developer,User Experience Hub,Lahore,https://pk.indeed.com/company/User-Experience-Hub/jobs/Frontend-Developer-41d5a60039b060a5?fccid=e065b6a07491566b&vjs=3,"Rs 60,000 - Rs 80,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"We are seeking a talented Frontend Developer to join our fast-growing team and drive innovation. The successful candidate will have a passion for creating high-quality, user-friendly web applications and a proven track record in developing and implementing complex projects. He should have a strong understanding of ReactJS, including experience with Redux for state management and familiarity with code design patterns. Additionally, knowledge of dynamic routing and API integration is essential for this role.
Responsibilities:
· Develop, test and maintain frontend applications
· Collaborate with cross-functional teams to design, develop and implement new features
· Troubleshoot and debug issues and bugs
· Ensure the performance, quality, and responsiveness of applications
· Stay up-to-date with emerging trends and technologies in frontend development
Requirements:
· Strong proficiency in HTML, CSS, and JavaScript
· Experience with ReactJS and Redux for state management
· Strong understanding of dynamic routing and API integration
· Familiarity with code design patterns and best practices
· Familiarity with Bootstrap and Tailwind frameworks
· Experience with version control (e.g. Git)
· Strong debugging and problem-solving skills
Job Type: Full-time
Salary: Rs60,000.00 - Rs80,000.00 per month
Application Question(s):

What is the role of Redux in a React application?
How do you handle multiple API requests in React?

Education:

Bachelor's (Preferred)

Experience:

React Js and Redux with Frontend (Preferred)
"
Web Developer (Frontend),Propertica PVT LTD,Lahore,https://pk.indeed.com/company/Propertica-Pvt-Ltd/jobs/Web-Developer-891df8acb6191878?fccid=45f0c482799e6171&vjs=3,"Rs 27,000 - Rs 33,000 a month",Full-time,Posted 9 days ago,Hiring 1 candidate for this role,"We need a qualified, talented, and motivated candidate for this job who is skilled in HTML, CSS, JavaScript (React), and Bootstrap. Experienced candidates will be preferred.
Job Type: Full-time
Salary: Rs27,000.00 - Rs33,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Web Designer and Developer,EmpireOne,Lahore,https://pk.indeed.com/company/EmpireOne-Travel-Inc./jobs/Web-Designer-Developer-00a0bbacfac7c5e4?fccid=859fafd531d3349d&vjs=3,"Rs 80,000 - Rs 100,000 a month",Full-time,Posted 2 days ago,Hiring 1 candidate for this role,"We are looking for an expert Website Developer (Home-based) with excellent skills to join our team. The ideal candidate has experience building real products for the web and should be able to present examples of their work.
Specific Skills and Responsibilities

Research and evaluate a variety of interactive media software products.
Prepare mock-ups and storyboards.
Consult with clients to develop and document Website requirements.
Lead and co-ordinate multidisciplinary teams to develop Website graphics, content, capacity, and interactivity.
Communicate with colleagues, managers, and stakeholders daily.
Source, select and organize information for inclusion and design the appearance, layout, and flow of the Website.
Create and optimize content for a website using a variety of graphics, databases, animation, and other software.
Develop Website architecture and determine hardware and software requirements.
Plan, design, write, modify, integrate and test Web-site related code.
Conduct tests and perform security and quality controls.
Evaluate written code to ensure it meets industry standards and is compatible with all devices.

Web Developer Requirements:
· Bachelor's degree in Web development or related field, or relevant experience.
· Solid knowledge and experience in programming applications.
· Proficient in JavaScript, HTML, CSS.
· Proficient in My SQL.
· Dedicated team player.
· Ability to thrive in a fast-paced environment.
· Solid ability in both written and verbal communication.
· Knowledge of programming language and technical terminology.
· Able to develop ideas and processes and clearly express them.
· High degree of independent judgment.
· Able to solve complex problems.
Computer and Technology Knowledge

Database software
Programming software
Web service design
Programming languages
Software development
Website creation and management software
Business diagram software

Personal Suitability

Initiative
Effective interpersonal skills
Team player
Excellent oral communication
Excellent written communication
Client focus
Dependability
Organized

Job Type: Full-time
Pay: Rs80,000.00 - Rs100,000.00 per month
Education:

Bachelor's (Preferred)

Experience:

Web Development: 2 years (Required)

Application Deadline: 11/03/2022"
