Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Accountant,"Awam,pk",Karachi,"https://pk.indeed.com/company/Awam,pk/jobs/Accountant-a0b44b37e56c2a65?fccid=7269f0795ab194c6&vjs=3","Rs 80,000 a month",Full-time,Posted today,Hiring 1 candidate for this role,"
Post and process journal entries to ensure all business transactions are recorded
Update accounts receivable and issue invoices
Update accounts payable and perform reconciliations.
Assist in the processing of balance sheets, income statements and other financial statements according to legal and company accounting and financial guidelines.
Assist with reviewing of expenses, payroll records etc. as assigned.
Update financial data in databases to ensure that information will be accurate and immediately available when needed.
Prepare and submit weekly/monthly reports.
Assist senior accountants in the preparation of monthly/yearly closings.Assist with other accounting projects.

Job Type: Full-time
Salary: Up to Rs80,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 18/04/2023"
Accountant required for a E-commerce perfume company,Bavari Perfumes Mfg. LLC,Karachi,https://pk.indeed.com/company/Bavari-Perfumes-Mfg.-LLC/jobs/Accountant-E-Commerce-Perfume-Company-950de6fd662ee48f?fccid=fb957684674da9d4&vjs=3,"Rs 25,000 - Rs 45,000 a month",Part-time,Posted 16 days ago,Hiring 1 candidate for this role,"Accountant required by a perfume company to Manage operational accounts, data entries and inventory management.
We are located in DHA phase 7, so those candidates who live near DHA would be preferred.
Job Types: Full-time, Part-timePart-time hours: 24 per week
Salary: Rs25,000.00 - Rs45,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

Accounting: 2 years (Preferred)
"
Accountant,Siraj Departmental store,Karachi,https://pk.indeed.com/company/Siraj-Departmental-store/jobs/Accountant-85ce49658ddd5779?fccid=de393868e529c88c&vjs=3,"Rs 60,000 - Rs 70,000 a month",Full-time,Posted 4 days ago,Hiring 1 candidate for this role,"Position is for Female Candidates only.
Job Duties:

Prepares, posts, verifies, and records customer payments and transactions related to accounts receivable.
Creates invoices according to company practices; submits invoices to customers.
Prepare detailed account reconciliations to be posted into the financial systems.
Determine accuracy of balances, figures, calculations, postings, investigate and reconcile any differences.
Performs other related duties as assigned.

Education:

Bachelors or similar degree in Accounts.
Atleast 2 years of relevant experience in retail industry.

Required Skills/Abilities:

Ability to work independently and in a fast-paced environment.
Ability to anticipate work needs and interact professionally with customers.

Location:
Jail Chowrangi Karachi.
Only shortlisted candidates will be contacted.
Job Type: Full-time
Salary: Rs60,000.00 - Rs70,000.00 per month"
Accountant,AL MASOOD GROUP OF COMPANIES,Karachi,https://pk.indeed.com/company/Hyundai-XTeer-AL--Masood-Group/jobs/Accountant-5cdc97afba7d3b17?fccid=632f5c55b036a364&vjs=3,"Rs 60,000 - Rs 70,000 a month",Full-time,Posted 14 days ago,Hiring 1 candidate for this role,"Qualification:
Bachelor's / Master's in relevant field.
Experience:
3-5 years of relevant experience required preferably in Tax Return filing.
Bank Reconciliation
Analytical, problem solving and reporting skills
Good knowledge on Journal Entries, Ledger, Trial Balance. Have a good knowledge on Income
Accounts payable and receivables.
Job Type: Full-time
Salary: Rs60,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 28/03/2023"
Accounts Executive,Mezan Group (Mezan Cooking Oil & Banaspati),Karachi,https://pk.indeed.com/company/Bin-Riaz-Bakers/jobs/Account-Executive-bbc3436851c31d88?fccid=3a250a5bbc19af5d&vjs=3,"Rs 40,000 - Rs 50,000 a month",Full-time,Posted 19 days ago,Hiring 5 candidates for this role,"Financial record-keeping: The accountant is responsible for keeping accurate and up-to-date financial records of the company's transactions, including sales, purchases, expenses, and revenue.
Accounts payable and receivable: The accountant is responsible for managing the company's accounts payable and receivable, ensuring that bills are paid on time and that customers pay their invoices.
Tax compliance: The accountant ensures the company is in compliance with tax laws and regulations, including filing tax returns and making tax payments on time.
Candidates with prior working experience with Distributions shall be preferred.
Job Type: Full-time
Salary: Rs40,000.00 - Rs50,000.00 per month
Application Deadline: 31/03/2023"
Accountant,Medical Equipment Service and Trading Company,Karachi,https://pk.indeed.com/company/Medical-Equipment-Service-and-Trading-Company/jobs/Accountant-33f1fe355f3cd68a?fccid=d5b650611d165d43&vjs=3,"Rs 33,000 - Rs 52,000 a month",Full-time,Posted 4 days ago,Hiring 2 candidates for this role,"We are looking for a qualified Accountant to handle prepare, compute, manage, research and analyse all accounting data, to provide quantitative information on performance, financial position, solvency, liquidity and cash flows of our business.
Responsibilities

Manage all accounting operations based on accounting principles
Ability to handle complete accounting cycle in manual & computerized environment
Recommends financial actions by analyzing accounting options
Substantiates financial transactions by auditing documents
Maintains accounting controls by preparing and recommending policies and procedures
Reconciles financial discrepancies by collecting and analyzing account information
Tally receivable or payable amounts on daily basis
Prepare budget and financial forecasts
Publish financial statements in time
Conduct month-end and year-end close process
Collect, analyse and summarize account information
Compute taxes and prepare tax returns, balance sheet, profit/loss statement etc.
Develop periodic reports for management
Audit financial transactions and document accounting control procedures
Keep up with financial policies, regulation and legislation

Requirements

Thorough knowledge of accounting and corporate finance principles and procedures
Excellent accounting Skills
Strong attention to detail
Advanced degree in Accounting

Job Details
Industry:
Importers / Distributors/Exporters
Functional Area:
Accounts, Finance & Financial Services
Job Type:
Full Time/Permanent
Job Shift:
First Shift (Day)
Job Location:
Karachi,Pakistan
Gender:
No Preference
Minimum Education:
Bachelors
Degree Title:
B.Com, BBA-Finance, ACCA
Career Level:
Experienced Professional
Experience:
3 Years - 5 Years
Job Type: Full-time
Salary: Rs33,000.00 - Rs52,000.00 per month"
Accountant,AL Faiz Builders,Karachi,https://pk.indeed.com/company/AL-Faiz-Builders/jobs/Accountant-03ef2f1c375fea33?fccid=a1cd4848f906b93c&vjs=3,,Full-time,Posted 3 days ago,Hiring 1 candidate for this role,"Al-Faiz Builders Private Limited is looking for the position of
“Accountant”.
Job Description:
An ideal candidate must possess the following attributes:
1- Candidate must know bank reconciliation statements.
2- The candidate must know to maintain bank and cash payment vouchers.
3- The candidate must know the process of customer receiving verification.
4- To maintain expenses and recovery sheets.
5- To maintain trail balance.
Qualification: Minimum graduate (commerce) or any other relevant degree.
Experience: More than 1 year.
Salary: Market Competitive
Professionals are encouraged to apply.
Interested candidates may drop their resumes/CVs on
- hr@alfaizbuilders.com
Or send resume to: 03011166281
Job Types: Full-time, New-Grad
Salary: From Rs50.00 per month"
Accountant,Pakistan Intermodal Limited,Karachi,https://pk.indeed.com/company/Pakistan-Intermodal-Limited/jobs/Accountant-ea8856a7a8bb3ff7?fccid=e4ad1067a81c5f09&vjs=3,"Rs 50,000 a month",Full-time,Posted 19 days ago,Hiring 1 candidate for this role,"Pakistan Intermodal Limited is looking for an Accountant. The candidate should have a Bachelors Degree. Other requirements are as under;

Expert level excel working capability. Must be well versed in creating excel complex formulae, capable of making nested loops in complex excel formulae.
Must be well versed in working on MS Office 360 especially excel in MS 360.
Must be well versed for working with power query.
Must have knowledge of creating dynamic reports from the data base.
Should have well knowledge of working with accounting entries, reconciliations.
3-4 years’ experience of working in above areas.

The position is Karachi based. Last date to apply 30th Mar, 2023.
Job Type: Full-time
Salary: Rs50,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Your Contact Number

Application Deadline: 01/04/2023"
Accountant,Hakimi Recruiters,Karachi,https://pk.indeed.com/company/Hakimi-Recruiters/jobs/Accountant-d7583e32d71eb465?fccid=c42a4d25d491fa9c&vjs=3,"Rs 35,000 - Rs 60,000 a month",Full-time,Posted 25 days ago,On-going need to fill this role,"DETAILS OF FUNCTIONS:

Greeting customers, Handling customers calls and sending ledger.


Handling and resolving customer complaints by coordinating with the team members.


Reconciling the company’s bank statements and bookkeeping ledgers.


Managing income and expenditure accounts.


Generating the company’s financial reports using income and expenditure data.


Keeping a check on the company’s finances based on financial status.


Initiating and managing financial and accounting software used by the company.


Making customer invoices same day.


Coordinate with accounting to ensure that all product costs are properly taken in the cost of sales and inventory costs.


Monitor the inventory status through weekly and monthly reports.

Job Type: Full-time
Salary: Rs35,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
"
Junior Accounts Officer,NGents,Karachi,https://pk.indeed.com/company/NGents/jobs/Junior-Account-Officer-04e54f187ac032cd?fccid=25077ed273334980&vjs=3,"Rs 50,000 - Rs 60,000 a month",N/A,Posted 28 days ago,Application response rate: 59%,"
Compiling, analyzing, and reporting financial data.
Creating periodic reports, such as balance sheets, profit & loss statements, etc.
Presenting data to managers and directors.
Maintaing strong relationships with banks and would need know depositing and clearing of cheques.

Accountant Requirements:

Bachelor’s degree in Accounting or related field.
Atleast 1-2 years of expereince in the related field.
Strong analytical, communication, and computer skills.
Understanding of mathematics and accounting and financial processes.
Ethical behavior.
Attention to detail.

Salary: Rs50,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or willing to relocate with an employer-provided relocation package (Required)

Experience:

serving as an accountant: 1 year (Required)
"
