Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Customer Service Representative,zeetechcent,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ABDeFJPnpf99CltV2WAiF1rq5PvgkwUMtrlK-haPE_7BxMfbmiVZFf6ZcFPFEBnZXh4xUUMQZfzixck7YgK2Z6ajCnslby9VZU8fjir7jdxY6WZVXcCGsLmA-fw8ZlnYfJTj6gTm59MsfBM6MvGmVzw_Q174skuiCSuJKxKpJQKz9GqonhzHduFMwBzG1Kk7wVlp70sZS7iaGW80x63EKO3ihNtxtxBz4qcvkHNMNkBMK0DADeCShvMJNY1nr1KVHKQupHIPfFzL79oimbjwLej1v6zVF_B6TIcsR-vG9xenIzVWSzUQ1zMOg3oKNOLAidP8C6tJa51eG6mOHVkiLM7A5hS2ZWe4EVW_RE25s0u1hMhKr6F-EOQWoTPuoCJfkFsLJ3AQ05xeFkoKRkILLOp7t3SHfKdVYyneTw5knj5-belqBUoGpVB8NGd9cbApoC4IRfdFqP2kY_9rJNj1lg8mGhxlVjV7APGy3wX923UJ3t-1gDCI6Qj5kPoPehLOoFCPJeZPHEbmP9TsIBymAUKG0DwxRK2RmTrMKSNq2iWw==&xkcb=SoCt-_M3RxugitWHBp0LbzkdCdPP&p=0&fvj=1&vjs=3,"Rs 22,000 - Rs 45,000 a month",Full-time,Posted 8 days ago,Hiring 10+ candidates for this role,"We are hiring a customer service representative to manage customer queries and complaints. You will also be asked to process orders and modifications and escalate complaints across a number of communication channels. To do well in this role you need to be able to remain calm when customers are frustrated and have experience working with computers.
Customer Service Representative Responsibilities:
A Customer Service Representative’s duty is to support customers. This main responsibility covers lots of duties, such as:

Providing introductory information to new customers
Ensuring that customers are satisfied with products or services
Following up with clients or customers to check that they’re still satisfied with any purchases
Letting customers or clients know about additional products or services
Determining the quickest, most effective ways to answer a client’s or customer’s questions
Escalating queries and concerns
Troubleshooting common issues with a product or service
Working with a team of CSRs and other departments to find appropriate solutions

Job Type: Full-time
Salary: Rs22,000.00 - Rs45,000.00 per month
Application Deadline: 20/04/2023"
Customer Services Executive (No Sales)(UAE Outbound Campaign) (10AM - 6PM),Sybrid Lahore,Lahore,https://pk.indeed.com/company/Sybrid-Lahore/jobs/Customer-Service-Executive-24044b9e32589142?fccid=af98ecfd8e6864ab&vjs=3,"Rs 35,000 - Rs 45,000 a month",Fresher,Posted 8 days ago,Application response rate: 75%,"Campaign: OutboundSalary Range: 35K (plus incentive based on performance)Benefits: Medical coverage + Group life Insurance +EOBIRequirement: Good English Speaking skills.
Job Duties:Answer calls professionally

Respond to customer inquiries
Handle and resolve customer complaints
Provide customers with product and service information
Process orders, forms, and applications
Identify and escalate priority issues
Coordination with concerned department in cases customer query needs second step follow-up.
Generate and Follow up of business leads sent to business and reporting of loop closing to line manager.
Any other task assigned by line manager.

Remuneration Package:

Full time: PKR 35,000
10 Sick Leaves
10 Casual Leaves
07 Annual Leaves (After completion of one year)

After Completion of Six Months Period Agent will be entitled to the following Benefits:

Medical Coverage IPD (Hospitalization Coverage for Employee, Spouse and Children)
Medical Coverage OPD (Hospitalization Coverage for Employee, Parents, Spouse and Children)
Group life insurance

Job Types: Full-time, Fresher
Salary: Rs35,000.00 - Rs45,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Customer Service Executive - UK,Systems Limited,Lahore,https://pk.indeed.com/company/Systems-Limited/jobs/Customer-Service-Executive-37ca18c7d146c4fb?fccid=513d00e337655aaf&vjs=3,"Rs 60,000 - Rs 100,000 a month",Contract,Posted 1 day ago,On-going need to fill this role,"We are looking to hire Customer Service Representatives with strong British accent in Systems Limited
Responsibilities:

Serve customers by providing product and service information and help them in resolving their problems.
Resolves product or service problems by clarifying the customer’s complaint, determining the cause of the problem, selecting and explaining the best solution to solve the problem,

expediting correction or adjustment, and following up to ensure resolution.

Recommends potential products or services to management by collecting customer information and analyzing customer needs.
Prepare reports related to customer experience, customer needs, recurring issues and tickets’ turnaround time by collecting and analyzing customer queries data.
Open customer accounts and maintain customers and financial record.


Requirements:
Intermediate education or above
Relevant experience is preferred
Excellent English communication skills ideally with British accent
Strong analytical and problem-solving abilities.
Willing to work as per the UK working hours.

Job Types: Full-time, ContractContract length: 12 months
Salary: Rs60,000.00 - Rs100,000.00 per month
Education:

Intermediate (Required)

Experience:

UK Customer Service: 1 year (Preferred)

Shift availability:

Night Shift (Preferred)
"
"Customer Service Representatives - Salary 50,000",Millat Tractor,Lahore,https://pk.indeed.com/company/MILLAT-TRACTOR/jobs/Customer-Service-Representative-e0646a66420c77b2?fccid=851f8b3c115edd3a&vjs=3,"Rs 50,000 - Rs 55,000 a month",Full-time,Posted 12 days ago,Hiring 2 candidates for this role,"We are hiring a customer service representative to manage customer queries and complaints. You will also be asked to process orders and modifications, and escalate complaints across a number of communication channels. To do well in this role you need to be able to remain calm when customers are frustrated and have experience working with computers.
Customer Service Representative Responsibilities:

Maintaining a positive, empathetic, and professional attitude toward customers at all times.
Responding promptly to customer inquiries.
Communicating with customers through various channels.
Acknowledging and resolving customer complaints.
Knowing our products inside and out so that you can answer questions.
Processing orders, forms, applications, and requests.
Keeping records of customer interactions, transactions, comments, and complaints.
Communicating and coordinating with colleagues as necessary.
Providing feedback on the efficiency of the customer service process.
Managing a team of junior customer service representatives.
Ensure customer satisfaction and provide professional customer support.

Customer Service Representative Requirements:

High school diploma, general education degree, or equivalent.
Ability to stay calm when customers are stressed or upset.
Comfortable using computers.
Experience working with customer support.

Job Type: Full-time
Salary: Rs50,000.00 - Rs55,000.00 per month"
Customer Care Support (Urdu Based),ya-tech,Lahore,https://pk.indeed.com/company/ya--tech/jobs/Customer-Care-Support-620f889918640b10?fccid=6aa41d9e9898a90f&vjs=3,"Rs 30,000 - Rs 35,000 a month",N/A,Posted 8 days ago,Hiring 10+ candidates for this role,"
Answer calls professionally
Respond to customer inquiries
Handle and resolve customer complaints
Provide customers with product and service information
Process orders, forms, and applications
Identify and escalate priority issues
Coordination with concerned department in cases customer query needs second step follow-up.
Generate and Follow up of business leads sent to business and reporting of loop closing to line manager.
Any other task assigned by line manager.

Salary: Rs30,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Computer Operator Job - Part Time,Master Time,Lahore,https://pk.indeed.com/company/Master-Time/jobs/Computer-Operator-687df47a9f53275e?fccid=b6b0d0c07bc90805&vjs=3,"Rs 30,000 - Rs 35,000 a month",Part-time,Posted 10 days ago,Hiring 4 candidates for this role,"The candidate will be responsible for greeting and welcome customers and deal with them in a professional way. Open position for Computer Operator.
Job Responsibilities:

Greet Customers
Guide customers about our services
Manage the floor cleaning
Record daily attendance of all employees

Requirements about Job:

Good Communication skills required
Punctual And Hardworking in Computer work
Strong understanding of Microsoft Excel.
Knowledge of word processors, like Microsoft Word.

Salary: Rs30,000.00 - Rs35,000.00 per month"
CSR ( Freshers and Experience),Digital Intelectual,Lahore,https://pk.indeed.com/company/Digital-Intelectual/jobs/Customer-Service-Representative-44b06e1f6260b547?fccid=7d356163fdb75300&vjs=3,"Rs 60,000 - Rs 90,000 a month",Fresher,Posted today,On-going need to fill this role,"We are a UK based law firm comprised of a passionate, energetic and prolific team of professionals rendering our services to our clients for a long time.
We are looking for a customer-oriented/ multi-tasking service representative. You will be responsible for answering inbound calls and taking information from the clients based in the UK, which requires good communication skills.
Requirements of the role:

Excellent inter-personal communication skills
Exceptional Empathy and professional courtesy towards the clients.
Ability to work under pressure
Should be a team player
Multi-tasking
British Accent is a plus

Location:
Gulberg,DHA,Barket Martket .
contact:0315_3191982(HR)
Job Types: Full-time, Fresher
Salary: Rs60,000.00 - Rs90,000.00 per month
Education:

Intermediate (Preferred)
"
Airline Ticket Reservation Agent,Al Fatah Travel & Tour,Lahore,https://pk.indeed.com/company/Al-Fatah-Travel-&-Tour/jobs/Airline-Ticket-Reservation-Agent-c5951a3372a28275?fccid=4b1d41d9865e7289&vjs=3,"Rs 30,000 - Rs 70,000 a month",Full-time,Posted 30+ days ago,Hiring 5 candidates for this role,"We are looking for passionate individuals for the post of Sales Executives for Airline Tickets.
We are hiring on regular basis for experienced travel consultants who have the ability to work with GDS system, has knowledge of airline ticketing system, and can work as team member.
We need people who have airline ticket selling expertise, great customer service skills, and good knowledge of airlines and their fare systems.
Responsibilities:

Ensuring compliance with company procedures for documentation, ticketing, refunds, exchanges, reissues, etc. Reconfirmation of reservations to ensure accuracy at all levels.
The candidate should be able to determine the client's needs and suggest suitable travel packages, organizing travels from beginning to end, including tickets, accommodation, and transportation. On top, of supplying travelers with pertinent information and useful travel/holiday materials.

Both males & females are encouraged to apply.Experienced personnel is the top priority.
Job Type: Full-time
Salary: Rs30,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Preferred)

Experience:

Travel Agency: 1 year (Required)
"
Computer Operator Job,Qadri Textile Mills Ltd,Lahore,https://pk.indeed.com/company/Qadri-Textile-Mills-Ltd/jobs/Computer-Operator-745f083683a3749e?fccid=9d8b937f525dc3ce&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 4 days ago,Application response rate: 67%,"The candidate will be responsible for greeting and welcome customers and deal with them in a professional way. Open position for Computer Operator.
Job Responsibilities:

Greet Customers
Guide customers about our services
Manage the floor cleaning
Record daily attendance of all employees

Requirements about Job:

Good Communication skills required
Punctual And Hardworking in Computer work
Strong understanding of Microsoft Excel.
Knowledge of word processors, like Microsoft Word.

Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month"
.Net Developer | Dot Net Developer,Tech Bridge Consultancy,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXyf5rpVcwJgMThyGhV37OseL77e38skyYsKZnVRdq4tsU2z_bmHS7CCFA0z5NBGBxgHnJ24OetLfG7dZtd5EHWFd95RWiyQ0Oa_TnDZqCCcjvYrOAiuVZZPt7MkFCIjjgJfJiLAWAXyEWlxtVefknLeWAiHReoeNUAXnHChXh291ESosl706uvGWp55_N4Bxzy0eB1KvPht30dg9UQQPPjiGPDUajtoYT0xRVVZIp5X-fF0O8NJ9eE5j_chxIWnuBQeYcLvmk4F8HWd7azdyW2qBqyltpUfOT4ktIwo7Q1XhhYHpFP-xo6H-BRquGS5EiesQnF1yrA72E7407U-XzZYQYbnhVeD_t5aqHt4BirvxNEs4U2dOXAaXw4nOZur4D5F_iZD2Y6bN4Hqn_3Y9iOnWoWXIN2y7NpLEpcjJrzwUzVKIl4Wmj3KGVe-WKahHApywVyn_59ZdT7CnwHB-kkhEEGiFlnlx63eEw1v4lSL7qjBcSFhyF8vm7AiGMmwlORuGtAk_4JMEPBfT79tIK-cjHMNbw7wwjT4S9eNjHQQ==&xkcb=SoBm-_M3RxugisWHBp0LbzkdCdPP&p=9&fvj=1&vjs=3,,Full-time,Posted 4 days ago,Hiring 2 candidates for this role,"Tech Bridge Consultancy is looking for a Software Engineer that is expected to develop, test, and implement new software programs as well as clearly and regularly communicate with management and technical support colleagues, asking for support when needed and also been proactive to suggest solutions and improvements. Work with experienced team members to conduct root cause analysis of issues, review new and existing code and/or perform unit testing.
Function Specific Accountabilities :

Execute full lifecycle software development.
Write well designed, testable, efficient code.
Integrate software components into a fully functional software system.
Develop software verification plans and quality assurance procedures
Producing detailed specifications and writing the program codes
Testing the product in controlled, real situations before going live
Comply with project plans and industry standards

Customer :

Use of customer insights to provide direction for business initiatives
Ensure best practice customer initiatives are adopted and applied
Provide exceptional customer service to internal and external customers within company guidelines, regulatory obligations and SLA’s
Ensure all confidential information is handled in accordance with company and partner protocols and procedures
Ensure high levels of customer relationship management are maintained

Communication :

Ensure all contact and interactions are of the highest standards, communicating clearly and appropriately to all stakeholders
Collaborate and provide regular reporting and updates with key stakeholders across the Cover-More Group
Ensure all communication is in line with the delivery of our Brand Promise to all stakeholders

Skills, qualifications & experience :Essential :

Minimum 2.1 Honours Degree (or equivalent) in Computer Science or related degree, with a significant programming component.
To be considered for this position you must be eligible to work in the Republic of Ireland.
Minimum 3 Years’ experience in ASP.NET Development Role.
Strong Experience and Knowledge of ASP.NET MVC and C#.
Good Experience and Knowledge of .NET Frameworks 3.5, 4 or 4.5.
Good Experience and Knowledge of .Net web-service frameworks (WCF, Web API etc.).
Experience of Microsoft Visual Studio 2010, 2012 or 2017.
Experience with Microsoft SQL Server 2008/2012/2016.
Good knowledge of front-end technology (HTML, JavaScript and CSS).
Experience of source control applications – (e.g. VSS / TFS).

Desirable :

First Class Honours Degree in Computer Science or related degree.
3+ Years experience in ASP.NET C# Software Development.
Experience working with SQL Server Integration Services & SSRS.
Experience in developing web applications for cross browser, internationalisation and accessibility.
Experience of Unit Testing and Mocking tools, preferably Test-Driven Development.
Experience of Agile Development Processes.
Insurance Industry Experience an advantage.

Personal qualities and skills :

Problem solving skills
Working with information
Ability to work as part of a team
Interpersonal skills
Ability to communicate effectively with people both orally and in writing
Ability to self-motivate

Experience :3+ Years
Job Type: Full-time"
