Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Data Analyst,HRSG Outsourcing Pvt Limited,Lahore,https://pk.indeed.com/company/HRSG-Outsourcing/jobs/Data-Analyst-66ff7e5f8ae3eeaa?fccid=9a07d49b07dd2c03&vjs=3,"Rs 70,000 - Rs 80,000 a month",Full-time,Posted 2 days ago,Application response rate: 52%,"
Use statistical methods to analyze data and generate useful business reports
Work with the management team to create a prioritized list of needs for each business segment
Identify and recommend new ways to save money by streamlining business processes
Use data to create models that depict trends in the customer base and the consumer population as a whole
Work with departmental managers to outline the specific data needs for each business method analysis project

Job Type: Full-time
Salary: Rs70,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Data Analyst: 3 years (Preferred)

Language:

English, Urdu (Preferred)
"
Data Analyst,Telelinkz Pvt. Ltd,Lahore,https://pk.indeed.com/company/Telelinkz/jobs/Data-Analyst-53ed326634149301?fccid=b651e14505f4ff10&vjs=3,"Rs 50,000 a month",Full-time,Posted 18 days ago,Hiring 3 candidates for this role,"Telelinkz is looking for Data Analyst who is responsible for creating reports and analyzing data using Microsoft Excel.
Job description:

Collecting and organizing data from various sources ensures it is properly organized in a format that can be easily analyzed.
Creating reports uses Excel to create reports that provide insights into the data. These reports may include charts, graphs, tables, and other visual aids to help convey the information.
Analyzes the data to identify trends, patterns, and other insights that can help inform decision-making.
Maintaining and updating existing reports as needed, including adding new data and making changes to the formatting and design.
Collaborating with other team members to gather data and ensure the accuracy of the reports. They may also present their findings to others in the organization.

Overall, an Excel reporter plays a crucial role in helping organizations make informed decisions by providing accurate and insightful reports based on data analysis.
Shift timings: 5PM-1AM
Pick & Drop facility available for females
Job Type: Full-time
Salary: Up to Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 29/03/2023"
Fresh Graduates,Telelinkz Pvt. Ltd,Lahore,https://pk.indeed.com/company/Telelinkz/jobs/Fresh-Graduate-30fb21eddba770dc?fccid=b651e14505f4ff10&vjs=3,"Rs 40,000 - Rs 60,000 a month",Full-time,Posted 19 days ago,On-going need to fill this role,"Multiple candidates are required. Work for a USA-based company. Excellent Growth and Learning Opportunities for the right candidates.

Display excellent skills in internet research, data analysis, preparing excel/word reports, and making them presentable.
Willingness to learn new tools, systems, and technologies.
Good understanding of Microsoft tools
Show good organizational and time management skills.
Strong teamwork skills.
A bachelor's degree (in any discipline) is preferred.
Willing to work nightshifts.
At least a Bachelor's Degree (BS, BBA, MS, MBA).

Job Type: Full-time
Salary: Rs40,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Shift availability:

Night Shift (Required)

Application Deadline: 23/04/2023"
Trainee Data Science,Nextbridge (Pvt.) Ltd.,Lahore,https://pk.indeed.com/rc/clk?jk=3ea15371adda2027&fccid=d18e405d3ff6bd3a&vjs=3,,Internship,Posted 30+ days ago,,"
Nextbridge Pvt Ltd requires 5 x Trainee Data Science who have exposure to programming and spark to learn quickly. This position is based in Lahore, Pakistan.  Responsibilities:

 Training in a relevant technology stack.
 Development of enterprise applications.
 Maintenance and upgrades (new features, refactoring, bug fixing) of existing programs
 Additional duties as assigned.

 Requirements:

 Majoring in Computer Science, Data Science Information Technology, Computer Engineering, or related IT discipline.
 Community and/or campus involvement. [Would be a plus]
 Strong OOP Concepts.
 Knowledge of Design Patterns are desirable.
 Proven concepts of Databases.
 Strong technical skills including understanding of software development principles.
 Positive attitude and strong work ethics.
 Ability to quickly adapt to a changing environment.
 Ability to quickly learn new concepts and software is necessary.
 Candidate should be a self-motivated, independent, detail oriented, responsible team-player.
 Good communication skills, both written and oral.
 Ability to multi-task and support multiple priorities.
 Strong Analytical and Problem Solving Skills.
 Excellent teamwork and interpersonal skills.
 Willingness to learn and attention to detail.
 A sharp mind with the ability to grasp concepts quickly and work out complex logic problems.
 Ability to use effective ways of Programming.
 Should able to design large scale Software.
 Good in Mathematics and Statistics
 Good in Python
 Knowledge of Data Cleaning, Data Analysis, Modeling/Prototyping, Predictive Analysis, Artificial Neural Networks, Machine Learning & DEEP Learning, NLP
 Familiarity with Numpy, Pandas, Scikit-learn, Keras, SciPy, TensorFlow, Theano

 About this Internship program:

 It is a 3-month paid internship opportunity which will lead to a full time job based on performance of the incumbent.
 Our full time jobs offer market competitive remuneration package, on-job training and exponential career growth to the interns transitioned to full time Associate Engineers.
 Company lunch/dinner will be provided.

 
bxS6qU9jJz
"
Data Scientist,Machine Learning 1 Private Limited,Lahore,https://pk.indeed.com/company/Machine-Learning-1-Private-Limited/jobs/Data-Scientist-ff80945a7916317c?fccid=4d7818415c6899a3&vjs=3,"Rs 80,000 - Rs 120,000 a month",Full-time,Posted 9 days ago,Hiring 2 candidates for this role,"Job Description:

Collecting and analysing large and complex data sets using statistical and machine learning techniques to identify trends, patterns, and insights that can be used to improve business decision-making.
Building and testing predictive models and algorithms using tools such as Python, R, SQL, and other data analysis software.
Collaborating with cross-functional teams, including data engineers, product managers, and business analysts to develop solutions to complex business problems.
Developing data visualisations and reports that effectively communicate insights to stakeholders across the organisation.
Continuously monitoring and improving the performance of data models and algorithms, and identifying opportunities to enhance the accuracy and efficiency of data-driven decision-making.
Staying up-to-date with the latest trends and developments in the field of data science, and continuously learning new skills and techniques to improve performance.

Requirements:

1 year of experience
Good knowledge of Deep Learning/Machine Learning
Strong Analytical Skills
Good knowledge of Python or R
Understanding of Statics
Experience with data visualisation tools
Experience in big data languages.
Excellent Communication Skills

Job Type: Full-time
Salary: Rs80,000.00 - Rs120,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Google Data Analyst,Your Talent Consultancy,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvhNJslKNyO9oCg2dYKwDAywJ2hMaVnPxr4pVrQSwMCF2-IzWes5yxYl3hrrxv-1VjZagbnX8ldY_T6HcuHSa8yYmc018278NKJW41pzW6kCrtX56HwT0yFP1DWajYkUeVoKpkAsQKYUqI69avhBIyxVD5l7UwrljunkrZID2aSqNczzgGYwgFC-jQI0ytWeQ7vw5bk_kkg31Nuu69cRwwJ7XPgYAgJSrUcYg0UUmio_jwPXC7rL0wrwzy5OyomhCnof1NClrHHfD__riWDxyyvbRMoVnpYlZ_OeIlWYjDBr4_9uX0og6D_dv2FtPxmIdHs-ee_QllzFiQq-U-kQ-rnF3WWlggwov3x6yN0ykp_zHtgKeWc_XkCReObXqYQiWcDwaQR6k4Pg34tVbyyqRtUmSHgxjclfo-hGn6IcRxyDMCb2L6KFR3BECBgrMK02VTxnyV6EC03sKmuj98AKBoZExM8lKOlbpogrkucFjjcQlpur4dva-Vj6cKO7JvDZ8cKBRMEapxvFIbfnwV5sMW-_9RfN76ilbbqhSqap6gmw==&xkcb=SoD8-_M3RxlsZJwIzB0ObzkdCdPP&p=5&fvj=1&vjs=3,"Rs 60,000 - Rs 70,000 a month",N/A,Posted 30+ days ago,Hiring 1 candidate for this role,"
Strong background and knowledge of Google Sheets
Able to use various formulas and functions within google sheets such as importrange, vlookup, index/match, sumif, countif, etc.
Able to demonstrate working knowledge of integrating various Google Sheets to consolidate data.
Working knowledge of Google Sheets Queries - how to write a query and create different report views based on user requirements.
Basic knowledge of Google Apps Script and the ability to write script to automate various functions within Google Sheets.
Working knowledge of creating workflows between Google Sheets.
Formatting data and creating options for intersection/filtering
Combining efficient formulas with lookup features and scripting services
Automating tedious processes with add-on services which integrate with other apps
Writing scripts which can streamline data analysis via extraction and modelling
Creating interactive dashboards to analyze and explore patterns in data
Building templates which allow staff to access, manipulate, and visualize data easily.
Working with other applications including SQL databases will be considered an asset.

Soft Skills:
Quick Learner
Team player
Ability to understand business requirements or user requirements and create solutions using Google Sheets.
Communication Skills to effectively train and communicate users of Google Sheets.
Salary:
60k to 70 k
Timings:
6 pm to 2:30 am
Monday to Friday
Salary: Rs60,000.00 - Rs70,000.00 per month
Experience:

google analyst: 1 year (Preferred)
"
AI Intern,Stampa Solutions,Lahore,https://pk.indeed.com/company/Stampa-Solutions/jobs/Ai-Intern-bf75dad7b7e13666?fccid=93a3ab994cecfbcc&vjs=3,"Rs 20,000 a month",Contract,Posted 8 days ago,Hiring 2 candidates for this role,"We are seeking a highly motivated AI Internee to join our team. The successful candidate will work alongside our experienced AI professionals to assist in developing, testing, and improving our AI algorithms. The AI Internee will be responsible for contributing to the development of machine learning models, analyzing data, and improving the accuracy of AI-based solutions.
Responsibilities:

Work with AI professionals to develop machine learning models for various projects.
Assist in the collection, organization, and analysis of data for AI algorithms.
Develop and maintain documentation of AI models and processes.
Collaborate with team members to ensure the accuracy and efficiency of AI algorithms.
Participate in team meetings and present findings and ideas to team members.
Continuously learn and update knowledge in the field of AI and machine learning.

Requirements:

Bachelor's degree in computer science or related field.
6 months of relevant work experience in AI or machine learning.
Knowledge of programming languages such as Python, R, and Java.
Familiarity with machine learning libraries such as NLTK, Spacy, TensorFlow, Kera's, and Scikit-Learn.
Understanding of data structures and algorithms.
Strong problem-solving and analytical skills.
Excellent communication and teamwork skills.

Preferred Qualifications:

Experience with Natural Language Processing (NLP) and Computer Vision (CV).
Experience with cloud computing platforms such as AWS or Azure.
Understanding of deep learning architectures such as Convolutional Neural.
Networks (CNN) and Recurrent Neural Networks (RNN).

Note: If you meet the requirements and are passionate about AI and machine learning, we encourage you to apply.
Job Types: Full-time, ContractContract length: 6 months
Pay: From Rs20,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Website Content Writer,Quality Resource Private Limited,Lahore,https://pk.indeed.com/company/Quality-Resource/jobs/Website-Content-Writer-9589ee63cbece4cb?fccid=e8b48976515423fc&vjs=3,"Rs 40,000 - Rs 80,000 a month",Full-time,Posted 26 days ago,Hiring 7 candidates for this role,"Quality Resource (PVT) LTD a Multinational Digital Marketing firm is looking for experienced Content Writers to join its SEO team and to deliver quality and creative content. The ideal candidate will be responsible for generating exciting and compelling stories on digital media platforms.
Job Responsibilities:

Creating content on a variety of subjects for in-house websites, clients, and guest blogs.
Providing quality manuals, process write-ups, e-books, white papers, and website content for top-quality sites, and our own blogs.
The candidate must be well-versed in research and creative writing. He/she should be able to write grammatically correct and unique blog entries for a diverse range of projects.
The candidate must be experienced in writing research-based articles for the US and UK markets.
Commercial awareness and data analysis ability of the internet and social media platforms are critical.
Strict adherence to deadlines.
Be internet savvy and have excellent research skills with good knowledge of MS Word and Excel etc.
Ability to work efficiently without compromising the quality or accuracy

This Job Is Ideal for Someone Who Is:

Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Autonomous/Independent -- enjoys working with little direction
Creating content on a variety of subjects for in-house websites, clients, and guest blogs.
Providing quality manuals, process write-ups, e-books, white papers, and website content for top-quality sites, and our own blogs.

Job Requirement:

Proven work experience as a Content Writer, Copywriter, or similar role.
Proven record of excellent writing demonstrated in a professional portfolio.
Bachelor's degree in English literature or any discipline.
Impeccable grasp of the English language, including idioms and current trends in slang and expressions.

Perks & Benefits:

Market Competitive Salary Package
Monthly & Annual Bonuses
EOBI
Gratuity
Annual Paid Leaves
Food & Free Parking Facility
Annual Trips/Recreational Activities
Medical Insurance

Note: (This is NOT a Remote/Hybrid Position)
Apply if you're from Lahore or can easily relocate to Lahore!
Job Type: Full-time
Salary: Rs40,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or willing to relocate with an employer-provided relocation package (Required)

Education:

Bachelor's (Preferred)
"
E-commerce Assitant,Gallant Sports,Lahore,https://pk.indeed.com/company/Gallant-Sports/jobs/E-Commerce-Assitant-67906f36ee612614?fccid=b2bbe9902315b53c&vjs=3,"Rs 40,000 - Rs 45,000 a month",Full-time,Posted 30+ days ago,Hiring 5 candidates for this role,"Job description
We are looking for an enthusiastic and dedicated e-commerce assistant who can fulfill the following responsibilities.
Responsibilities:
Assist in Day-to-day management of the online storeBe responsible for the uploading of new products, ensuring deadlines are met
Update product images as soon as they are made available
Monitor product performance to ensure product and category pages are optimized efficiently
Maintaining the digital platform
Conducts data analysis to generate data driven market insights
Ability to research the e-commerce space
Competitive analysis
Updating web banners and artworks
Requirements:
Minimum Bachelor’s degree in related field
Good communication skills
Ability to research the E-commerce Sports
Good English is required
Ability to meet deadlines
Benefits:
Monthly dinners
Annual leaves
Market competitive salary
Saturdays and Sundays are official off days
Comfortable working environment
Job Type: Full-time
Salary: Rs40,000.00 - Rs45,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Data Analyst,Pakistan Children's Heart Foundation,Lahore,https://pk.indeed.com/company/Pakistan-Children's-Heart-Foundation/jobs/Data-Analyst-04a3adc7d63b76d4?fccid=fbba35ac8f9b6351&vjs=3,"Rs 50,000 a month",Full-time,Posted 4 days ago,Hiring 1 candidate for this role,"We are looking for someone with strong experience in Microsoft Dynamics Excel, ideally with extracting data from CRM 2016 or 365.
Should have been involved in the delivery of at least five data analytics project’s Additionally, should have at least 2 years of experience in Excel advance level.
Should also have proven experience in consulting on software products, business analysis & requirements gathering.
Proficiency in developing plug-in & workflow assemblies is required.
Job Type: Full-time
Salary: From Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 07/04/2023"
