Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Cash Officer,E- Shifa,Lahore,https://pk.indeed.com/rc/clk?jk=ccc3e56470748146&fccid=69be3b0f12dd237c&vjs=3,"Rs 30,000 - Rs 35,000 a month",N/A,Posted 12 days ago,Hiring 1 candidate for this role,"eShifa is JCI accredited Home Health Service Provider . So Nursing Assistant will have to provide services at doorsteps of the patients .
1. Register the new patients.
2. Charge the fee of prescribed investigations, consultation & other procedure of patients
3. Check the accuracy and validity of panel referred Letter/Card Copies
4. Entertain the Cash and Panel patients
5. On spot Verification of data from patients
6. Ensure timely cash collection from patients
7. Submit Daily Cash to Accounts / Bank
8. Manage refunds with proper documentation
9. Submit Panel Letter/Card Copies to Supervisor for reconciliation of Panel on next day
10. Fill the registration form for patients
11. Provide information and guide patients
12. Prepare manual cash memo in case of system shutdown and charge in system as system restores.
13. Submit weekly report of cash reconciliation and refund to supervision.
14. Maintain the files record accurately
Salary: Rs30,000.00 - Rs35,000.00 per month
COVID-19 considerations:We are providing PEPs to all healthcare staff
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

cash handling: 1 year (Preferred)

Shift availability:

Day Shift (Preferred)
Night Shift (Preferred)

Expected Start Date: 10/04/2023"
Nutritionist,Marham - Find a Doctor,Lahore,https://pk.indeed.com/company/Marham---Find-a-Doctor/jobs/Nutritionist-2e569c0f6d749305?fccid=b85b9058bbef44ff&vjs=3,,Full-time,Posted 12 days ago,Hiring 2 candidates for this role,"We are seeking a knowledgeable and experienced nutritionist to join our healthcare company. The nutritionist will be responsible for providing expert advice and counseling to patients on nutrition-related issues, including weight management, disease prevention, and wellness.
Responsibilities:

Conducting initial consultations with patients to assess their nutritional needs, health status, and medical history.
Developing and implementing personalized nutrition plans that address the patient's specific goals and health concerns.
Monitoring and tracking patient's progress through regular follow-up consultations and adjusting their nutrition plans as needed.
Providing education and guidance to patients on healthy eating habits, food choices, and lifestyle modifications.
Collaborating with other healthcare professionals, such as physicians to provide comprehensive care to patients.
Staying up-to-date with the latest research and trends in nutrition and incorporating this knowledge into the patients nutrition plans.
Participating in the development and implementation of nutrition-related programs and initiatives within the company.
All the consultations would be conducted online so the nutritionist will be responsible for connecting to patients online at the exact particular time.

Requirements:

Degree in nutritional science, dietetics or relevant field.
Experienced candidates will be preferred.
Good understanding of research methods and data analysis.
Excellent communication and interpersonal skills.
Creativity and critical thinking.

Job Type: Full-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Student Counsellor,Bizvee Consultant,Lahore,https://pk.indeed.com/company/Bizvee-Consultant/jobs/Student-Counsellor-8b6c8a33dabfe5ec?fccid=feedb7de85dc4435&vjs=3,"Rs 35,000 - Rs 50,000 a month",Full-time,Posted 17 days ago,Hiring 1 candidate for this role,"
Provide one-on-one counseling sessions to students who are dealing with personal, academic, or career-related issues.
Develop and implement programs and workshops that address the needs of students, such as stress management, time management, and study skills.
Work closely with faculty, staff, and administrators to support students and promote a positive and inclusive campus culture.
Maintain accurate and confidential records of counseling sessions and student interactions.
Stay up-to-date with the latest research and best practices in student counseling and mental health.
Collaborate with community organizations and healthcare providers to provide additional support and resources to students.
Conduct assessments and evaluations to measure the effectiveness of counseling programs and identify areas for improvement.
Adhere to ethical and legal guidelines related to counseling and mental health.
Participate in professional development activities and attend conferences and workshops to enhance knowledge and skills.
Support the overall mission and goals of the educational institution or organization

Job Type: Full-time
Pay: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Data Analyst,Mashkraft,Lahore,https://pk.indeed.com/company/Markraft/jobs/Data-Analyst-c9e0484eaf8d8b7d?fccid=5c926f95034ea57b&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 64%,"We are looking for an experienced data analyst for processing and doing calculations on our client's data.
The ideal candidate should have the following skills

Advanced Excel proficiency
Experience in excel based reports and dashboard
Attention to Detail
Excellent communication skills.
Capable of working under pressure and tight deadlines

We are a Canadian based software company providing services to automotive tech and healthcare sector. We offer excellent remuneration package, benefits and an opportunity to grow.
Job Type: Full-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Recruitment Executive,IBSTEC,Lahore,https://pk.indeed.com/company/IBSTEC/jobs/Recruitment-Executive-9b19f9850839d29a?fccid=6c28e3893d2bc6ad&vjs=3,"Rs 60,000 - Rs 100,000 a month",Full-time,Posted 3 days ago,Hiring 6 candidates for this role,"Job description.We are a UK based Recruitment agency; looking for the candidates who will be providing recruitment services for clients in the UK. The process involves calling qualified staff in the UK and shortlisting the interested candidates for an interview so they must possess good English language skills. A proactive approach is required to attract healthcare staff in the UK via telephone & emails.Timings:PK shift timings 1 pm to 10 pm 5 days a week.PK shift timings 3:00 pm to 12:00 pm 5 days a week
Education & Experience:

Graduation or Intermediate
1 or 2 years in Healthcare Recruitment or any international call center is preferred but fresher can also apply.

What we need:

Strong communication skills; fluency in English (written & verbal)
Computer literacy
Disciplined, punctual and a fast learner
Health Care Experience

Salary:Starting from 60,000 to 100,000 per month based on target (depending on experience & Interview)Company Benefits:

Provident Fund
Incentives
Eid Bonus
New Year Bonus

Job Type: Full-time
Salary: Rs60,000.00 - Rs100,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Calling Agent ( UK Based),Ambition World,Lahore,https://pk.indeed.com/company/Ambition-World/jobs/Calling-Agent-e393adeed923f775?fccid=f377548000194a10&vjs=3,"Rs 50,000 - Rs 55,000 a month",Full-time,Posted 21 days ago,Application response rate: 72%,"A leading UK-based recruitment Company invites suitably experienced candidates for the position of Calling Agent. We have multiple positions and all positions are Lahore-based. The candidate must have good communication and English language skills. Experienced recruiters are preferred.
Job Description:
Candidates will be required to provide recruitment services for off-shores clients in the UK. The process involves, calling qualified staff in the UK and shortlisting the interested candidates for an interview so must possess good English language skills. A proactive approach is required to attract healthcare staff in the UK via telephone & emails.
Essential Requirements:

Fixed Afternoon Shifts (12:30 pm – 9:30 pm). Monday to Friday
Candidates should have sound knowledge of using a computer, internet and also Microsoft Excel & Word
Candidates with a proactive approach, good communication, and English language skills are preferred.
Experienced Call Centre professionals are also encouraged to apply.

Perks and Benefits 

Market Competitive Salary.
Saturday Sunday off
Commission+ Bonus
Annual Leaves
Career Growth

Job Type: Full-time
Salary: Rs50,000.00 - Rs55,000.00 per month
Application Question(s):

what is your age ?

Education:

Bachelor's (Preferred)

Experience:

Call center: 1 year (Preferred)

Language:

English (Preferred)
"
Patient Service Representative,Macrise Tech Solutions,Lahore,https://pk.indeed.com/company/Macrise-Tech-Solutions/jobs/Patient-Service-Representative-04faa3b1e101edfe?fccid=900257481ff91180&vjs=3,"Rs 60,000 - Rs 80,000 a month",Full-time,Posted 3 days ago,Hiring 5 candidates for this role,"One Behavioral has dedicated years of experience and expertise in the Houston area to provide comprehensive outpatient and inpatient behavioral health and psychiatric care for adults and children in our local community. One Behavioral is constantly on the path to growth and new development. We are looking to add an experienced Customer Services Representative/ PSR to our team that will contribute to our mission by embodying the same values as us. Along with patient satisfaction, employee satisfaction is at the top of our list of priorities. We look forward to the possibility of welcoming new minds to our team and are hopeful to find a good fit for this position. Management Partner Macrise Tech Solutions.
Role and Responsibilities:

You will be scheduling/canceling the appointments
Recalling patients to schedule the future appointments
Responding to them via email or live chat option and helping patients to connect with the provider.
You would have to complete the patient’s file in the EMR system and upload the documents before their first appointment.
You will be communicating with other team members to forward requests and resolve patients' concerns regards to any department.
PSR will be the first interaction with the patient so it’s important to have good communication skills with a better understanding
Behavior should be welcoming to give them the best experience with the facility.

Qualification
Have experience for US or based call centre of Healthcare facilities
Should be aware of HIPPA .
Note: ( We are located in Wapda Town Lahore)
Job Type: Full-time
Salary: Rs60,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Experience:

US/UK based call center for healthcare: 2 years (Preferred)

Language:

English (Preferred)

Shift availability:

Night Shift (Preferred)
"
Customer Support Associate,Digital Billing Services Private Limited,Lahore,https://pk.indeed.com/company/Digital-Billing-Services-Private-Limited/jobs/Customer-Support-Associate-8bc64a14a7224ac1?fccid=fd2f42d0d75c9560&vjs=3,"Rs 40,000 - Rs 60,000 a month",N/A,Posted 11 days ago,Hiring 5 candidates for this role,"We are hiring for the Customer Support Department.
Skills Required:Active ListeningMulti-taskingUpgrading multi-sheets at the same timeExcellent command of English Grammar and efficient typing skillsStrong phone conversation skillsAbility to convince customers on retaining his/her orderFamiliar with CRM systems and practicesWilling to work night shifts.Resolve customer complaints via phone, email, Live Chat, or social mediaGreet customers warmly and ascertain the problem or reason for calling.Assist with the placement of orders, refunds, or exchanges.
Your job is to answer incoming calls, make outbound calls, email replies on tickets and handle live chats efficiently. Candidates with little experience in Call Centers will be given priority.Interested candidates can email their resumes to
Requirements

Competitive, positive, humble energetic, enthusiastic, forward-thinking, and ambitious.
1-2 years of experience in a call center
Candidate with Healthcare telemarketing is preferred, but not required.
Minimum Graduation
Should be a good customer service worker who knows how to deal with potential customers

Job Type: Full-time
Available Shift:
Night 6:00pm- 3:00am (USA Time Zone)
Morning 4:00am - 1:00pm (Aus Time Zone)
Salary: Rs40,000.00 - Rs60,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
International Recruiter (UK Health Services),IBSTEC,Lahore,https://pk.indeed.com/company/IBSTEC/jobs/International-Recruiter-be67891525441573?fccid=6c28e3893d2bc6ad&vjs=3,"Rs 50,000 a month",Full-time,Posted 30+ days ago,On-going need to fill this role,"We have multiple positions and all positions are Lahore-based. The candidate must have good communication and English language skills. Experienced recruiters are preferred.
Job Description:
Candidates will be required to provide recruitment services for off-shores clients in the UK. The process involves, calling qualified staff in the UK and shortlisting the interested candidates for an interview so must possess good English language skills. A proactive approach is required to attract healthcare staff in the UK via telephone & emails.
Minimum Education:
Graduation or Intermediate
Experience:
1 or 2 years of experience in recruitment and staffing in UK health services, fresher can also apply. Candidate must have good & strong communication skills in English. International call center experience candidates can also apply for this post.
Responsibilities:

Follow the UK shift timings 1pm to 10pm 5 days a week, Saturdays-Sundays are off.
The person should have ability to negotiate and find the candidate over the call as per the client requirements.
Calling and take an initial interview and hire them for the post in UK health sector.

Language and other skills:

Must have strong communication skills.
Fluent in English.
Follow the rules of the company.
Basic skills of computer.
Disciplined, punctual and a fast learner.

Salary Bracket:
its a fixed salary job plus incentives (salary will be decided on the final interview)
Company Benefits:

Provident Fund
Incentives
Eid Bonus
December Bonus

Job Type: Full-time
Salary: Up to Rs50,000.00 per month"
Data Entry Intern,Healthwire Private Limited,Lahore,https://pk.indeed.com/company/Healthwire-Private-Limited/jobs/Data-Entry-Intern-6c5643e28ce5964b?fccid=e1689a24d245ce4d&vjs=3,"Rs 20,000 - Rs 22,000 a month",Internship,Posted 30+ days ago,Hiring 2 candidates for this role,"Healthwire is on a mission to use technology to improve healthcare outcomes and impact the lives of millions of Pakistanis. We are looking for an enthusiastic and competent Data Entry Intern to join us in our hyper-growth trajectory
Perform network design and capacity planning.

Maintains database by entering new and updated customer and account information.
Prepares source data for computer entry by compiling and sorting information.
Establishes entry priorities.
Processes customer and account source documents by reviewing data for deficiencies.
Resolves deficiencies by using standard procedures or returning incomplete documents to the team leader for resolution.
Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format.
Maintains data entry requirements by following data program techniques and procedures

Job Type: Internship
Contract length: 3 months
Job Types: Full-time, InternshipContract length: 3 months
Salary: Rs20,000.00 - Rs22,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Product Specialist,Global Marketing Services,Lahore,https://pk.indeed.com/rc/clk?cmp=Autoberg-Pakistan-%E2%80%93-Islamabad&ti=Product+Specialist&jk=8f2dd2819446b2d8&fccid=a6228e6b0ccd5dde&vjs=3,"Rs 55,000 - Rs 75,000 a month",Full-time,Posted 3 days ago,Hiring 2 candidates for this role,"We are seeking a highly motivated and results-driven individual to fill the position of Product Specialist. The candidate will be responsible for promoting and marketing the BioFire product line to clinicians and healthcare professionals. The ideal candidate should have a background in the healthcare industry and possess excellent communication and analytical skills.
Responsibilities:

Promote and market BioFire products to clinicians and healthcare professionals
Visit customers and present the product benefits to generate sales leads
Conduct market research to analyze market trends and identify opportunities for growth
Develop and maintain strong relationships with customers to ensure customer satisfaction
Collaborate with the marketing team to develop effective marketing strategies and campaigns
Attend industry conferences and events to promote BioFire products
Provide regular reports on sales and market trends to the management team

Qualifications:

Bachelor's and Master's degree in Biochemistry, Biotechnology, Bio-Informatics, Genetics, Microbiology, Pharmacy, Allied Health Sciences or related field.
MBA will be a plus.
2-3 years of experience in sales and marketing in the healthcare industry.
Excellent communication and interpersonal skills
Strong analytical and problem-solving skills
Ability to work independently and as part of a team
Ability to travel and attend conferences and events as required

Job Type: Full-time
Salary: Rs55,000.00 - Rs75,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

Field: 2 years (Preferred)
"
