Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Sales Representative,North Amercian Staffing Services,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdnTxorRE-7_XkJ_orwS6rFORymrTwWvlqmTkwLxuYUtwasHDsCSYI2mif3cAyLX7ayFHA4cxItLAcL7CCVoMaJdbEWrae9FeGvf6sBblbQzuWH9FC6e1fGgsViu_lVuiBzfIXPEpsBu3pykueXcsq8HxSkDE4JTeeDflDSsIo-7VR4J-UZ5nZbu1-Q0gGCi8dz_f0WTgB4cTjyWJ1T0p_v5ziHCTsggWjBUsyRYpMvT5nWu38MiWd-cHxA2l_hAjSs67SYXHHl8Q9hF9Zx1KCWuBLwziRG-gs9U6kKuRYZsQonXhdAcHJ-2YoSTuHm_9gRKp8lE2epXtgFsmOzpjFOyFfEUjLUoigmh9bSF5-b9_pr4vSWTQyrVI3jyp9IjkmuMFE_YEfnvNUOotYOuRJJtWoCwKp4uCQsRJaCvHXhnH5Wb8m_I2UoEXLB3DsBAacaSQgXCbeGRT2Ax3GQmRZ0WHynOlhZoVYiNei7lmTnRGNPvN6f2Bkc_aLpAWWynaqdzbGGqT6SK7y1KTECTwF&xkcb=SoAS-_M3RxqfIdwsbh0LbzkdCdPP&p=0&fvj=1&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 29 days ago,Hiring 5 candidates for this role,"We are looking for Fresh & experienced and self-driven Telesales Representative to join our Sales team! As a Sales Representative, you will be responsible for generating calls to potential customers with the main goal to achieve your sales quota.
As a Telesales Representative, we are expecting you to be an outstanding communicator and listener with the professional, but friendly approach.
You will be responsible for closing sales deals over the phone and maintaining good customer relationships. Candidate Keeping a record of calls and relevant details.
The Role: Sales Representative
Number of Vacancies: 05
Job Type: FULL TIME
Job Description:
-Identifying current and prospective staffing clients-Preparing and emailing new templates every day to all the clients-Maintain an up-to-date database by finding everyday new emails, contact numbersand potential clients-Making new sales pitch on daily basis-Follow ups on expected and new clients with emails and cold calling-Assisting in company-sponsored events and generate leads through them-Working as a team with the Marketing Manager to get more business-Engaging in Social Media postings to keep it up to date-We are looking for candidates considerate on Bonuses with the base salary
Skills Requirements
- Excellent Communication Skills in English-Basics of IT needed-Fast and accurate typing speed-Confident in creating exceptional client satisfaction experience-Problem solving and multi-tasking skills-Comfortable with Cold calling-Willing and active at work-Adapting to work culture environment-Proactively and creatively source new B2B opportunities (i.e., connecting withmarketing/HR departments of surrounding businesses to offer Staffing services)
- Good knowledge of relevant computer programs (e.g CRM software) and telephonesystems
Compensation & Perks:
-The salary starts from PKR 30,000 plus incentives and bonus(The incentive is on top of base salary, where you receive PKR 1500 additional for bringing new contract and running it for at least 30 days)-The bonus/incentive will be applicable to every new contract-Comprehensive and continuous training and development.
Office Timings:
MONDAY to FRIDAY 06:00 PM to 03:00 AM PST(Timings are flexible as per the requirement)
What you will gain:-This job will enhance your sales and marketing skills to make you more competitive in the market-It will enhance your persuasive and telephonic skills too
Interested candidates, please note: our team checks for new applicants every day and while we would love to be able to engage with each of you personally.
given the high volume of applicants we receive we are only able to contact candidates that are best suited for this role. Moreover, for prompt response just share your resume at our WhatsApp contact # 0320- 6460085.
Office Address: 48-A, 2nd Floor, Sunny Plaza, Eden City DHA Phase 8, Lahore Airport Link Road, Lahore, Pakistan.
Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Preferred)

Language:

English (Required)

Shift availability:

Night Shift (Required)
"
Spanish Sales Specialist,Xtreme Technologies,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ck3e8R-hVyWngXPuP-Z-ra2oqxDkO5-MZfPZyfJT5xTNmXF9_qxOdZbB9Rp4HGY6h-FExHr3sc5MeT9-RDXNFNFxDEYrebTb82WNzoORbACU7zUVHM7mFgLAeZOvPzORPmMrEPQWWSTOJNm2uNHdLxI9tf7WhLMZYyRmhTS-SyMUpV09ab00xdvOUyS8IjngBZAnHYOVzpvj8niW9yH_biL1aCNg8l8rRy3UbnpnpnwLTx6QyAyxILsJHgprELUizMxLPXX0QkrdH_sXxHiPvCbcHs0kS55osWjxXOv4zN6BI60NaYxedTIvjaRM1IYE_NR01dMxjFbxb3pV49Y9aobpLbiPFyNiXBF2Sxu_Pvw7M9xM9XzF6owxoc0pemSPkojVOk_zH1-gbAPNJxXhmhFXAiw6mkTrWBWr-2luYqN0hELMtZ8x6q6UDu7KR4fH-svuoOKMc-oSsZUl2fMJwIFWESGhY18Y_vhUp3txsxQxwxh2WSDix7It7JHUaWcY2EpxMNWflBWA==&xkcb=SoCm-_M3RxqfIdwsbh0KbzkdCdPP&p=1&fvj=1&vjs=3,"Rs 50,000 - Rs 80,000 a month",Full-time,Posted 3 days ago,On-going need to fill this role,"We are looking for Sales Representative who can fluently speak Spanish preferably with customer service/call center experience for an International Campaign.
We offer excellent career growth and grooming opportunity and market competitive perks and benefits. Interested candidates shall share their resumes via email only.
Requirements:

Fluent in spoken Spanish
Lead Generating Skills
Excellent English and Spanish communication skills
Customer-centric attitude
Able to work conveniently in night shift. Fresh and Experienced Persons are required.
Ability to multi-task, set priorities and manage time effectively
Permanent Employment Status
Good Working Atmosphere

Job Type: Full-time
Pay: Rs50,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Preferred)

Language:

Spanish Fluently (Required)
English Fluently (Required)

Shift availability:

Night Shift (Required)
"
Customer Services Executive (No Sales)(UAE Outbound Campaign) (10AM - 6PM),Sybrid Lahore,Lahore,https://pk.indeed.com/company/Sybrid-Lahore/jobs/Customer-Service-Executive-24044b9e32589142?fccid=af98ecfd8e6864ab&vjs=3,"Rs 35,000 - Rs 45,000 a month",Fresher,Posted 8 days ago,Application response rate: 75%,"Campaign: OutboundSalary Range: 35K (plus incentive based on performance)Benefits: Medical coverage + Group life Insurance +EOBIRequirement: Good English Speaking skills.
Job Duties:Answer calls professionally

Respond to customer inquiries
Handle and resolve customer complaints
Provide customers with product and service information
Process orders, forms, and applications
Identify and escalate priority issues
Coordination with concerned department in cases customer query needs second step follow-up.
Generate and Follow up of business leads sent to business and reporting of loop closing to line manager.
Any other task assigned by line manager.

Remuneration Package:

Full time: PKR 35,000
10 Sick Leaves
10 Casual Leaves
07 Annual Leaves (After completion of one year)

After Completion of Six Months Period Agent will be entitled to the following Benefits:

Medical Coverage IPD (Hospitalization Coverage for Employee, Spouse and Children)
Medical Coverage OPD (Hospitalization Coverage for Employee, Parents, Spouse and Children)
Group life insurance

Job Types: Full-time, Fresher
Salary: Rs35,000.00 - Rs45,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Field Sales Associate PTCL,Pakistan Telecommunication Company Limited (PTCL),Lahore,https://pk.indeed.com/company/Allied-Bank-Limited-(ABL)/jobs/Field-Sales-Associate-Ptcl-a694373dd84cf40c?fccid=494d563d40e2b21f&vjs=3,"Rs 40,000 - Rs 80,000 a month",Contract,Posted 23 days ago,Hiring 10+ candidates for this role,"PTCL, A leading Telecommunication company requires (FSA) located in PTCL Exchange, Islamabad/Rawalpindi. Evaluating customers skills, needs and building productive long-lasting relationships.with Good convincing power, Efficient, active marketing skills

Qualification: Intermediate
Basic Salary: 40,000
Conveyance Allowance : 10,000 per month Conveyance allowance
Mobile Allowance: 1,000 per month
Age Limit: Must be 35 or Below
Timing: Morning 9 to 5
Experience: Minimum 2 Months

Additional Benefits

Free Medical Insurance
Free Home Internet Facilities
Smart TV Facilities
Commission

Location: Lahore 
Apply only Male
Job Types: Full-time, Contract
Salary: Rs40,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Islamabad: Reliably commute or planning to relocate before starting work (Required)
"
Education Consultant,Mac Education And Migration Consultants,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B4jKoryLh6aY883TGxwoTaJBj5gc65swvwfTnu307htZxPYHwEG8kGB-_oDmJ0Arez6r91yAgwJE8bcWUgJ8_VWumbRkuz47cL6aS8ePCMVhqClvxPuWStWjiLS_bXu_hfx6e_b1JMLzIg-WKNXOsoQ0j-oG0cp_2ZrkZ5q9vEneXHRyWf2ci8opTnHr0icmGqvsCK-lSJUfSbEJ8aV49OQIKU3UbFtuHhMPIHS68rCldV1Vu629X-D2p0fIfxltUosOm32Z0dUk4qjnY-ftB4XZHFtP84bIs1p0fyjro3s39hvxnta5fVNXdWwbU2MauStp2zyIE5rAzxEIVOTVgo0LwfcC_jjI77ZNsceXO7s7CBgF3yNE2p9cS-NR8fRIK2OUPnn6UdksMBp9actHVj8Zo-8CbzWT3beTh5T_67rnlOmz_9AyL27bxWRiPemZfrCG_-MmFImXR14kl6EajVZd5feik3_8DCKSUGTTGboMuMBRohEUKzU6lcJnRO78SQesrEjz-Bxg==&xkcb=SoAB-_M3RxqfIdwsbh0PbzkdCdPP&p=4&fvj=1&vjs=3,"Rs 35,000 - Rs 70,000 a month",Full-time,Posted 5 days ago,Hiring 2 candidates for this role,"We are looking for an energetic confident having good communication skills male and female candidate for the position of Foreign Education / Visa Counselling fresh or experienced both are welcome.
Training will be provided to successful candidates
Responsibilities

Advise international students on university opportunities in the Australia
Advise international students on application and visa procedures
Market and promote educational institutions represented by the company to students
Maintain accurate ledger of student details and applications in CRM system
Liaise with university students, other offices and client institutions
Create and build relationships with university students
Create personal marketing strategies to engage clients
Engage clients with software such as Whatsapp and Emails
Ensure complete and accurate reporting of all activities on the CRM system

Key Performance Indicators:

Conversion rates at different stages throughout the sales pipeline according to CRM
Accuracy with CRM usage, data management and best practice
Performance against targets
Maintain and contribute to positive team culture

Education & Qualifications:

Bachelor’s degree preferable but not essential.
A track record of employment in education consultancy and sales: minimum 2 year but not essential

Other Qualifications
Excellent verbal and written communication skillsBilingual English Level in Listening Writing and Speaking
Essential Skills
Word processing softwareSpreadsheet softwarePresentation softwareEmail managementData entryDigital calendarsVideo conferencingSocial media managementInstant messaging
Job Type: Full-time
Salary: Rs35,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Marketing Coordinator,Your Talent Consultancy,Lahore,https://pk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvhNJslKNyO9oCg2dYKwDAywJ2hMaVnPxr4pVrQSwMCF2-IzWes5yxYl3hrrxv-1X3eU9MpcIQKlicot8x8Xcd5leosCnw3rh4OpanlhxUP7aUrcFyc5g_BQjSIyu3zF8ud89Xjq1sOTUmaHV0_dJMfhpo-pGSs6i0P0IX8izGoysEmdvhc_3ysiZw0PkDOACaCR_OmyNxyW1cxf4gqYLciwnVdeg6pb7vn_6nhYio6VmvX4e2rxAKt9Df1f4LvP5NqX31y1wlFPZLqzRqk1hmpJI4napytPfIQ7X8asRjdF94aWgj0fm9dmfSJekRTUxXu-lqNJQIe14_7unfolz6rx8Q_3ZUaSXWUcSKs45URpJ3bdO2JmfFeTcRW2pmemrUswtrLRV0G8xkIlAJfbfzpMvQh9bHQJDHVx_MArbnQ9X2N-IWDanoWyv0KZ6gD0-MdMbr20iDwE3J01ujL3LgiV8D-B-qaqsiOHX1JNHZE63rAV-01Qq1N5AObUk9GBOJdHWCaKaRNuntrhAEinC5FStytqS7JRA=&xkcb=SoC1-_M3RxqfIdwsbh0ObzkdCdPP&p=5&fvj=1&vjs=3,"Rs 55,000 - Rs 65,000 a month",Full-time,Posted 5 days ago,On-going need to fill this role,"Job description
Your Talent Consultancy is a Brand Talent Partner. We connect our clients with exceptional people who will power their brand, and we connect brilliant candidates with roles they’ll love in exciting industries. We are currently looking for Marketing Coordinator who can join us from Pakistan and work from offshores only.
KEY RESPONSIBILITIES:

Cold/warm calling prospective clients to develop business opportunities and build strong client relationships.
Executes outbound calls and customized emails daily utilizing sales enablement tools.
Booking face-to-face client meetings with key decision-makers.
Planning and executing a strategic sales approach to build an active book of business.
Helping clients by providing them with candidates that meet their needs and requirements through the Recruitment Consultant.
Meeting and exceeding sales and recruiting activity metrics on a weekly basis
Following up with clients to confirm that their needs and supplied candidates are meeting expectations.
Prospects quality contacts and accounts best aligned for using the companies’ platform and creates amazing first impressions with potential customers while building a pipeline for sales.
Maintains first point of contact for potential clients while executing marketing and sales tactics/activities.
Organizes, categorizes, and prioritizes sales leads and collects market data before and during customer outreach to understand prospective customers needs and effectively translates those needs to the sales team

BASIC REQUIREMENTS – SKILLS & ABILITIES

Ability to work with various divisions and encourage cooperation
Identify and resolve issues in an ideal way
Excellent PC abilities alongside oral and composed relational abilities
Proven competitor sourcing and relationship building abilities
Basic information on work laws
Experience with enlistment for various sorts of profiles
Skills in record keeping and information base administration

Job Type: Full-time
Salary: Rs55,000.00 - Rs65,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Airline Ticket Reservation Agent,Al Fatah Travel & Tour,Lahore,https://pk.indeed.com/company/Al-Fatah-Travel-&-Tour/jobs/Airline-Ticket-Reservation-Agent-c5951a3372a28275?fccid=4b1d41d9865e7289&vjs=3,"Rs 30,000 - Rs 70,000 a month",Full-time,Posted 30+ days ago,Hiring 5 candidates for this role,"We are looking for passionate individuals for the post of Sales Executives for Airline Tickets.
We are hiring on regular basis for experienced travel consultants who have the ability to work with GDS system, has knowledge of airline ticketing system, and can work as team member.
We need people who have airline ticket selling expertise, great customer service skills, and good knowledge of airlines and their fare systems.
Responsibilities:

Ensuring compliance with company procedures for documentation, ticketing, refunds, exchanges, reissues, etc. Reconfirmation of reservations to ensure accuracy at all levels.
The candidate should be able to determine the client's needs and suggest suitable travel packages, organizing travels from beginning to end, including tickets, accommodation, and transportation. On top, of supplying travelers with pertinent information and useful travel/holiday materials.

Both males & females are encouraged to apply.Experienced personnel is the top priority.
Job Type: Full-time
Salary: Rs30,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Preferred)

Experience:

Travel Agency: 1 year (Required)
"
Urdu Call Center - 6 Hour Job,shaheencomplex,Lahore,https://pk.indeed.com/company/shaheencomplex/jobs/Urdu-Call-Center-30c83ef621ba9b2b?fccid=5ef4f6ce73a87a1b&vjs=3,"Rs 30,000 - Rs 35,000 a month",Part-time,Posted 10 days ago,Hiring 4 candidates for this role,"In order to be successful in this position, you will need to have a deep understanding and passionate about the sales and marketing in which you have to generate demand for sales through cold calling an inbound calls.
Job Position: Call Center Job
Required Skills for this Job:

Graduation or above degree
Master in Urdu communication
Able to maintain record
Have the basics of customers guides

Provide you:

Handsome Salary Package with commissions
Bonuses after every months
Paid leaves
Traveling allowances and Tea

Job Type: Part-timePart-time hours: 6 per week
Salary: Rs30,000.00 - Rs35,000.00 per month"
Urdu Call Center - 6 Hour Job,Next Bridge,Lahore,https://pk.indeed.com/company/Next-Bridge/jobs/Urdu-Call-Center-53916d6942bd5d3b?fccid=d42af3e332b1fd87&vjs=3,"Rs 30,000 - Rs 35,000 a month",Part-time,Posted 14 days ago,Hiring 2 candidates for this role,"In order to be successful in this position, you will need to have a deep understanding and passionate about the sales and marketing in which you have to generate demand for sales through cold calling an inbound calls.
Job Position: Call Center Job
Required Skills for this Job:

Graduation or above degree
Master in Urdu communication
Able to maintain record
Have the basics of customers guides

Provide you:

Handsome Salary Package with commissions
Bonuses after every months
Paid leaves
Traveling allowances and Tea

Job Type: Part-timePart-time hours: 6 per week
Salary: Rs30,000.00 - Rs35,000.00 per month"
Jazz / Warid Call Centre,Master Time,Lahore,https://pk.indeed.com/company/Master-Time/jobs/Jazz-18b4100577bdcda0?fccid=b6b0d0c07bc90805&vjs=3,"Rs 30,000 - Rs 35,000 a month",Full-time,Posted 19 days ago,Hiring 4 candidates for this role,"Our Company in search of freshers for our Sales Department . It's Good opportunity for freshers to earn a handsome salary.
Requirements

Strong computer skills.
Excellent interpersonal communication skills.
Strong problem solving abilities.
Punctual and Hardworking

Qualification Minimum Intermediate
Salary Basic Salary + Commission
Location Lahore
Timing Morning / Evening /Night Shifts are available
Only interested Candidates apply for this job
Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month"
