Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Research Associate,AlHuda CIBE,Multan,https://pk.indeed.com/company/AlHuda-CIBE/jobs/Research-Associate-487db01002c4f4ad?fccid=5a94ca22bac8b8b9&vjs=3,"Rs 30,000 a month",Full-time,Posted 30+ days ago,Hiring 2 candidates for this role,"Who we are looking for:
An eager individual with excellent interpersonal skills and proactive personality for our Company. Fresh Graduates are highly encouraged to apply.
Responsibilities:
· Writing research market studies
· Searching for and retrieving information from paper-based sources, the internet and online databases
· Analyzing data
· Liaising with research project clients to run the research project smoothly.
· Making sure that agreed project deadlines are met.
· Writing/editing draft questionnaires and reports.
· Writing press releases, award events, speeches, articles, and event briefs.
· Drafting Proposals & MOUs.
· Assist staff for email communications of proposals, events, strategic partners etc.
· Websites contents updating.
· Development of event profiles
· Letter drafting for invitation of events, trainings and other services.
· Monitor the work delegated by the CEO
Qualifications and Skills
· Master’s Degree in Banking and Finance / Management Science / English.
· Fresh Graduates are highly encouraged to apply.
· Excellent communication, interpersonal, and relationship-building skills.
· Great work ethics such as honesty, punctuality, ownership, flexible nature, mutual respect, and commitment.
· Exceptional ability to research for information and find answers/solutions to the problems
· A passion to succeed and create a great career in the field of education and learning.
· Strong analytical and problem-solving skills.
· Self-starter with a high level of motivation and the ability to work in a fast-paced environment.
Job Type: Full-time
Salary: From Rs30,000.00 per month
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 25/02/2023"
Visiting lecturer Physiotherapist,Federal Institute of Health Science,Multan,https://pk.indeed.com/company/Federal-Medical-&-Rehablitaion-Center/jobs/Visiting-Lecturer-Physiotherapist-64b81c0bcee84f12?fccid=ffffc21e5d63e874&vjs=3,,Part-time,Posted 30+ days ago,Hiring 2 candidates for this role,"Mention Experience
Mention Permanent Address
Job Types: Full-time, Part-timePart-time hours: 7 per week
Salary: Rs800.00 per hour
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)
"
Area sales Manegar,Mah Bio Science,Multan,https://pk.indeed.com/company/Mah-Bio-Science/jobs/Area-Sales-Manegar-a8ebe2e22d30b5be?fccid=58956ce0c094a3e1&vjs=3,"Rs 50,000 a month",Full-time,Posted 30+ days ago,Hiring 10+ candidates for this role,"ideal candidate will prospect and close sales leads to help generate revenue for the company. They will also be responsible for developing, implementing, and evaluating the sales strategy. They will have strong management and coaching skills to support the learning and development of the sales team to achieve the Sales targets.Responsibilities• Support the learning and development of the sales team• Coordinate with sales representatives to generate and meet with prospective leads• Track and report all sales activities• Develop and execute sales strategy through market analysisQualifications• Minimum Graduate• Experience of Agriculture, Pesticide sales 8 to 10 Years• Experience managing sales teams• Experience generate and maintaining relationships with sales leads & also have good network of distributors.• Excellent written and verbal communication skillsinterested candidates send their resume at qulbsaifi@gmail.comHRMAH Bio Science#career #jobs #RealCare #agriculture # #mahbioscience #
The ideal candidate will prospect and close sales leads to help generate revenue for the company. They will also be responsible for developing, implementing, and evaluating the sales strategy. They will have strong management and coaching skills to support the learning and development of the sales team to achieve the Sales targets.
Responsibilities

Support the learning and development of the sales team


Coordinate with sales representatives to generate and meet with prospective leads


Track and report all sales activities


Develop and execute sales strategy through market analysis

Qualifications

Minimum Graduate


Experience of Agriculture, Pesticide sales 8 to 10 Years


Experience managing sales teams


Experience generate and maintaining relationships with sales leads & also have good network of distributors.


Excellent written and verbal communication skills

interested candidates send their resume at qulbsaifi@gmail.com
HR
MAH Bio Science
#career #jobs #RealCare #agriculture # #mahbioscience #
Job Type: Full-time
Salary: From Rs50,000.00 per month
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)
"
Xamarin developer wanted,Stone Age Technologies,Multan,https://pk.indeed.com/company/Stone-Age-Technologies/jobs/Xamarin-Developer-2db7a87410bad3b7?fccid=3c87d2aa13460a0c&vjs=3,"Rs 20,000 - Rs 100,000 a month",Contract,Posted 1 day ago,Hiring 4 candidates for this role,"We are looking for Xamarin Developer with 2 years of experience. You will need to Develop, test, and maintain mobile applications using Xamarin.
Skills:-

At least 2 years of hands-on experience in Xamarin Forms and Xamarin Native mobile app development
Responsible for developing mobile applications for both Android and iOS using Xamarin and Visual studio in C#
Strong skills working with Web Services and implementing them and use the data retrieved to manipulate and send it to the UI
Experienced in Mobile Application Development using UI Kit
Knowledge in manage mobile application and mobile application policies with Azure including MAM (Intune)
Knowledge in Implementing MSAL authentication in Xamarin.Forms and Integrate Azure AD B2C into a Xamarin forms app using MSAL
Knowledge and experience with .NET/C#, JavaScript, Ajax, JSON, CSS, HTML
Solid Object-Oriented analysis and design using common design patterns.
Proficient understanding of code versioning tools such as Git, Azure DevOps, TFS
Participated in daily stand-up meetings and involved with Scrum project estimation meeting.

Qualifications:Bachelor's or Master's degree in Computer Science, Engineering or a related field.
Proven experience as a Xamarin developer.
Strong experience with C# and .NET programming languages.
Experience with front-end development technologies such as HTML, CSS, and JavaScript.
Experience with back-end development technologies such as SQL Server, MongoDB, and RESTful APIs.
Experience working with Agile methodologies and tools such as JIRA.
Strong problem-solving skills and attention to detail.
Excellent communication and collaboration skills.
Ability to work independently and as part of a team.
Experience with cross-platform mobile application development is a plus.
Our company:
Stone Age Technologies is an IT solutions company providing IT solutions to companies around the world.
Website: findstoneage.com
Interested candidates, please contact us
Job Types: Full-time, ContractContract length: 12 months
Salary: Rs20,000.00 - Rs100,000.00 per month
Experience:

as a Xamarin developer: 2 years (Required)

Language:

English (Required)
"
WordPress developer wanted,Stone Age Technologies,Multan,https://pk.indeed.com/company/Stone-Age-Technologies/jobs/Wordpress-Developer-b62e6281bf9b72e9?fccid=3c87d2aa13460a0c&vjs=3,"Rs 18,000 - Rs 50,000 a month",Contract,Posted 11 days ago,Hiring 3 candidates for this role,"Stone Age Technologies is seeking to hire a WordPress Developer. This position will work closely with leaders and project managers to ensure our projects meet specified requirements, timelines, and budgets. We are a fast-paced, execution-driven organization company.
Responsibilities include:

The WordPress Developer you will research, design, and implement technical specifications for projects based on user requirements as indicated in the scope of work, wireframes, and sitemap documents
Lead a small team
Ensure projects are built to meet performance, security, and functional requirements
Oversee the development and maintenance of websites, intranets, applications, and other custom programming assignments as applicable
Develop new programs, analyze current programs and processes, and make recommendations
Provide analysis of current programs which includes performance, diagnosis, troubleshooting of problem programs, and designing solutions to problematic programming
Perform backend/database programming for key projects
Stay up to date on industry standards and incorporate them appropriately
Assist with testing, debugging, documentation, and overall quality assurance of projects
Must be familiar with many WordPress themes and plug-ins like Gutenberg WordPress themes and others

Requirements

Bachelor’s degree or higher in Information Systems, Computer Science, related field, or equivalent industry work experience
At least 6-8+ years of experience with WordPress development experience
Experience leading a team or mentoring engineers
Seeking enterprise-level experience
Advanced knowledge and development experience in PHP, CSS/HTML, JavaScript, jQuery (and/or similar JS libraries), MySQL (or other database management systems)
ASP and web servers (ISS/Apache) is a plus
Extensive experience in custom web application development
Ability to understand business requirements and the non-technical reasoning behind a decision or position, and present a clear, rational argument in favor of a proposed solution
Advanced troubleshooting and debugging skills
Ability to clearly and effectively communicate technical solutions to non-technical people
Strong communication skills and attention to detail

Our company:
Stone Age Technologies is an IT solutions company providing IT solutions to companies around the world.
Website: findstoneage.com
Interested candidates, please contact us
Job Types: Full-time, ContractContract length: 12 months
Salary: Rs18,000.00 - Rs50,000.00 per month
Experience:

Gutenberg WordPress Themes: 3 years (Required)

Language:

English (Required)
"
Fitness Trainers Male & Female,Destiny Gym,Multan,https://pk.indeed.com/company/Destiny-Gym/jobs/Fitness-Trainer-Male-Female-e8d42347e7860b7f?fccid=591e5bbbde5dcc2d&vjs=3,,Part-time,Posted 20 days ago,Hiring 2 candidates for this role,"As a fitness trainer at our gym, your primary responsibility will be to design and implement fitness programs that are tailored to the needs of our members. You will work one-on-one with clients to assess their fitness levels, set goals, and create personalized plans that will help them achieve their objectives.
In addition to creating individualized fitness programs, you will also be responsible for leading group fitness classes, including cardio, strength training, and yoga. You will use your knowledge of exercise science, anatomy, and nutrition to educate clients on the best ways to achieve their goals and maintain a healthy lifestyle.
As a fitness trainer, you will be expected to stay up-to-date with the latest trends and research in the fitness industry. This includes attending industry conferences and workshops, and maintaining your certification and continuing education credits.
Other responsibilities may include:

Assisting with gym operations, including membership sales and facility upkeep
Conducting fitness assessments and tracking progress for clients
Maintaining a clean and organized gym environment
Demonstrating proper technique and form for exercises
Motivating and encouraging clients to stay on track with their fitness goals

The ideal candidate for this position will have a passion for fitness and helping others, as well as excellent communication and interpersonal skills. You should be able to work well in a team environment and be comfortable working with people from a wide variety of backgrounds and fitness levels. A degree in exercise science, sports medicine, or a related field is preferred, as well as relevant certification from a recognized organization such as ACSM or NASM.
You may send your resume on through whatsapp on this number : 03029622558 or email at shaigithebest@gmail.com or you can visit Shareef Complex Gulgust Colony Multan for the interview between 12pm to 5pm
Job Types: Full-time, Part-timePart-time hours: 24 per week
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)
"
Software Engineer,DATABEYS,Multan,https://pk.indeed.com/company/DATABEYS/jobs/Software-Engineer-2ea5c5731c02c723?fccid=15d3f936b10c1c97&vjs=3,,Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"JOB DESCRIPTION:
Databeys is looking to hire a junior SOFTWARE DEVELOPER to join our team at Multan Office for a 3-month internship which will lead to a permanent job. The motto of our company is to make a difference in the IT industry and move toward success with a dedicated team. The selected candidate will collaborate with software development engineers to understand project features, review technical designs, and implement automated test tools to deliver new features. This is a great opportunity for a developer to excel in their career by becoming part of the team and growing their careers by working on cutting-edge technologies and solving problems involving a huge amount of data, high availability, and scalability in a professional environment. This is a great opportunity for developers who possess the skills to prioritize tasks and communicate clearly. The selected intern will be hired as a permanent employee on his/her good performance and dedication.
RESPONSIBILITIES:

Candidate must have knowledge of Node.js.
Strong proficiency with Node.js frameworks, i.e. Express.
Strong proficiency in front-end JavaScript frameworks, i.e React.
Must be Hands-on practice in Databases like Mongo, MYSQL, or SQL.
Working knowledge of Webservices of AWS, AZURE, or GCP.
Familiarity with RESTful API.
Developed and maintain APIs.
Knowledge of CRMs will be an edge point.
Must have strong problem-solving skills.

REQUIREMENTS:

Bachelor’s degree in Engineering, IT, or Computer Science (or equivalent experience)
Fresh students can apply for developing better skills and experience in fieldwork.
Demonstrable experience building scalable solutions
Strong verbal and written English communication skills
Must be a self-starter with a strong desire to increase efficiency

Job Type: Full-time
Experience:

Software Engineering: 1 year (Required)
"
Frontend/Backend Developer,Intelligent Software Solutions,Multan,https://pk.indeed.com/company/Intelligent-Software-Solutions/jobs/Frontend-Backend-Developer-669557856f10210b?fccid=63f9df03c6d8d41e&vjs=3,,Full-time,Posted 10 days ago,Application response rate: 67%,"Location: Multan
We are a leading Software Solution Company that specializes in providing innovative and cutting-edge technology solutions to our clients. We are currently seeking experienced Frontend and Backend Developers to join our dynamic team.
Requirements:

Minimum of 1 year of professional work experience
For Frontend Developers: Experience with ReactJS (plus point if typescript) or experience with design systems like Bootstrap or Tailwind.
For Backend Developers: Experience with Typescript

Responsibilities:

Collaborate with cross-functional teams to design, develop, and maintain software applications
Participate in code reviews, testing, and deployment of software
Write clean, maintainable, and efficient code
Stay up-to-date with emerging trends and technologies in software development

Qualifications:

Strong problem-solving skills and attention to detail
Excellent written and verbal communication skills
Ability to work independently as well as in a team environment
Bachelor's degree in Computer Science or a related field is preferred but not required

If you are a highly motivated and experienced Frontend/Backend Developer who is passionate about developing innovative solutions, we encourage you to apply for this position.
To apply, please send your resume and filled the Survey Form. We will only consider candidates who meet the minimum requirements mentioned above.
Google Survey Form: https://forms.gle/mjnEc1sQ3BZQdRtY7
We are an equal-opportunity employer and welcome applications from all qualified candidates.
Note: We Consider Only those Candidates Who filled out the Form, And we Consider By their form and Resume that they might be helpful for our Company
Job Type: Full-time
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)
"
ASP Programmer wanted,Stone Age Technologies SIA,Multan,https://pk.indeed.com/company/Stone-Age-Technologies-SIA/jobs/ASP-Programmer-aaa8689e2482d949?fccid=0d55d88a17f91b78&vjs=3,"Rs 45,000 a month",Contract,Posted 30+ days ago,Application response rate: 66%,"Experience: 10 to 15 years working experience
Looking for remote coder from India, Pakistan, Bangladesh, Sri Lanka
We are stone age technologies SIA are looking for enthusiastic self-disciplined and well organized coder to work with our dynamic team. Full time positions only
Qualification requirements· Engineer with BSc, Msc or PhD degree within relevant discipline related to computer science
· Curious about modern technologies and keeping up with technology trends
· Able to work under pressure to meet deadline before its due
· Ready to go the extra miles to get the project delivered
· Fast learner
ASP Developer
Experience: 5 to 10 years working experience
responsibilities:
Generating code using ASP languages (C#, VB .NET)
Updating, configuring, and debugging existing systems
Provide technical support for web, desktop, or windows server.
responsuibilities and qualifications:
* minimum of 5 years experience
* Proven experience as an ASP developer or application developer
*Familiarity with ASP, ASP.net, SQL Server, and design/architecture patterns (such as Model-View-Controller (MVC))
* Knowledge of at least one of ASP languages (, C #, Visual Basic .NET) and HTML5 / CSS3)
* Familiarity with architecture / API styles (REST, RPC) Good OOP / OOD skills Knowledge of relational database concepts, SQL Server
Job specific requirements:
· Knowledgeable and curious about the many aspects of modern software development and delivery
· A knack for finding the fun in technical challenges
· A good eye for layering abstractions
· A self-driven team player, not afraid to take on and share responsibilities
· Analytical and structured, yet creative and flexible
· REMOTELY WORKING from the comfort of your own home
What can we offer you?
· Being part of a team in a growing company where you can influence and make a noticeable impact
· Versatility in a company with high responsibility and varied tasks
· Performance-based flexibility
· An informal and fun working environment (arrange team hackathons and code roasts regularly)
· Great opportunities for personal development and competence building
· Competitive salary and benefits
· Must be able to travel for a short while to the headquarter in Europe to training or team training
Our company:
Stone Age Technologies is a multi national IT solutions company providing IT solutions to companies around the world.
Website: findstoneage.com
Job Types: Full-time, Part-time, Contract, Temporary
Salary: From Rs45,000.00 per month
Education:

Bachelor's (Preferred)

Experience:

coding: 4 years (Preferred)
ASP: 5 years (Preferred)
SQ Server: 4 years (Preferred)
"
App Developer (Android and IOS),Al Manan Builders,Multan,https://pk.indeed.com/company/Al-Manan-Builders/jobs/Application-Developer-b1fb3b8eaca6dc94?fccid=902af7475db82c9b&vjs=3,"Rs 50,000 - Rs 90,000 a month",Contract,Posted 30+ days ago,Hiring 1 candidate for this role,"We are seeking an experienced and talented app developer to join our team. The ideal candidate will have a strong background in developing high-quality apps for both Android and iOS platforms.
Responsibilities:

Design, develop, and maintain native mobile apps for Android and iOS platforms
Collaborate with cross-functional teams to define, design, and ship new features
Write clean, maintainable, and efficient code
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Debug and fix issues as needed

Requirements:

3+ years of experience in app development for Android and iOS platforms
Proficiency in programming languages such as Java, Swift, and Kotlin
Experience with third-party libraries and APIs
Strong problem-solving and analytical skills
Excellent communication and teamwork skills
Bachelor's degree in Computer Science or a related field

Preferred:

Experience with Flutter development
Experience with version control systems (e.g. Git)
Familiarity with Agile development methodologies

We are excited to review your application and see how your skills and experience can contribute to the success of our team. Thank you for considering this opportunity
Job Types: Full-time, ContractContract length: 6 months
Pay: Rs50,000.00 - Rs90,000.00 per month
Ability to commute/relocate:

Multan: Reliably commute or planning to relocate before starting work (Required)
"
